id,side,bucket,text,query
2248,left,acm trans . database syst .,"COL title VAL static analysis techniques for predicting the behavior of active database rules COL authors VAL a aiken , j hellerstein , j widom COL venue VAL acm trans . database syst . COL year VAL 1995",static analysis techniques for predicting the behavior of active database rules a aiken acm trans . database syst .
2336,left,acm trans . database syst .,COL title VAL distributed query evaluation on semistructured data COL authors VAL d suciu COL venue VAL acm trans . database syst . COL year VAL 2002,distributed query evaluation on semistructured data d suciu acm trans . database syst .
33,left,ecord,COL title VAL david dewitt speaks out COL authors VAL m winslett COL venue VAL ecord COL year VAL 2002,david dewitt speaks out m winslett ecord
510,left,sigmod conference,"COL title VAL continually evaluating similarity-based pattern queries on a streaming time series COL authors VAL l gao , x wang COL venue VAL sigmod conference COL year VAL 2002",continually evaluating similarity-based pattern queries on a streaming time series l gao sigmod conference
541,left,sigmod conference,"COL title VAL statistical synopses for graph-structured xml databases COL authors VAL n polyzotis , m garofalakis COL venue VAL sigmod conference COL year VAL 2002",statistical synopses for graph-structured xml databases n polyzotis sigmod conference
644,left,sigmod conference,"COL title VAL generating efficient plans for queries using views COL authors VAL f afrati , c li , j ullman COL venue VAL sigmod conference COL year VAL 2001",generating efficient plans for queries using views f afrati sigmod conference
990,left,sigmod conference,COL title VAL data management issues in electronic commerce ( panel ) COL authors VAL m жzsu COL venue VAL sigmod conference COL year VAL 1999,data management issues in electronic commerce ( panel ) m жzsu sigmod conference
1271,left,sigmod conference,COL title VAL real business processing meets the web COL authors VAL j chong COL venue VAL sigmod conference COL year VAL 1998,real business processing meets the web j chong sigmod conference
1690,left,sigmod conference,COL title VAL shore : combining the best features of oodbms and file systems COL authors VAL s team COL venue VAL sigmod conference COL year VAL 1995,shore : combining the best features of oodbms and file systems s team sigmod conference
797,left,sigmod conference,"COL title VAL a data model and data structures for moving objects databases COL authors VAL l forlizzi , r gќting , e nardelli , m schneider COL venue VAL sigmod conference COL year VAL 2000",a data model and data structures for moving objects databases l forlizzi sigmod conference
1305,left,sigmod conference,"COL title VAL database performance in the real world - tpc-d and sap r/3 ( experience paper ) COL authors VAL j doppelhammer , t hіppler , a kemper , d kossmann COL venue VAL sigmod conference COL year VAL 1997",database performance in the real world - tpc-d and sap r/3 ( experience paper ) j doppelhammer sigmod conference
907,left,sigmod conference,"COL title VAL mocha : a database middleware system featuring automatic deployment of application-specific functionality COL authors VAL m rodriguez-martinez , n roussopoulos , j mcgann , s kelley , v katz , z song , j jсjс COL venue VAL sigmod conference COL year VAL 2000",mocha : a database middleware system featuring automatic deployment of application-specific functionality m rodriguez-martinez sigmod conference
779,left,sigmod conference,"COL title VAL congressional samples for approximate answering of group-by queries COL authors VAL s acharya , p gibbons , v poosala COL venue VAL sigmod conference COL year VAL 2000",congressional samples for approximate answering of group-by queries s acharya sigmod conference
1267,left,sigmod conference,COL title VAL microsoft.com : a high-scale data management and transaction processing solution COL authors VAL s kennamer COL venue VAL sigmod conference COL year VAL 1998,microsoft.com : a high-scale data management and transaction processing solution s kennamer sigmod conference
1791,left,sigmod conference,COL title VAL outerjoins as disjunctions COL authors VAL c galindo-legaria COL venue VAL sigmod conference COL year VAL 1994,outerjoins as disjunctions c galindo-legaria sigmod conference
564,left,sigmod conference,"COL title VAL middle-tier database caching for e-business COL authors VAL q luo , s krishnamurthy , c mohan , h pirahesh , h woo , b lindsay , j naughton COL venue VAL sigmod conference COL year VAL 2002",middle-tier database caching for e-business q luo sigmod conference
846,left,sigmod conference,"COL title VAL indexing the positions of continuously moving objects COL authors VAL s saltenis , c jensen , s leutenegger , m lopez COL venue VAL sigmod conference COL year VAL 2000",indexing the positions of continuously moving objects s saltenis sigmod conference
1745,left,sigmod conference,COL title VAL coss : the common object services specifications COL authors VAL b martin COL venue VAL sigmod conference COL year VAL 1994,coss : the common object services specifications b martin sigmod conference
1587,left,sigmod conference,"COL title VAL nearest neighbor queries COL authors VAL n roussopoulos , s kelley , f vincent COL venue VAL sigmod conference COL year VAL 1995",nearest neighbor queries n roussopoulos sigmod conference
1685,left,sigmod conference,"COL title VAL ptool : a light weight persistent object manager COL authors VAL r grossman , d hanley , x qin COL venue VAL sigmod conference COL year VAL 1995",ptool : a light weight persistent object manager r grossman sigmod conference
377,left,sigmod conference,"COL title VAL rondo : a programming platform for generic model management COL authors VAL s melnik , e rahm , p bernstein COL venue VAL sigmod conference COL year VAL 2003",rondo : a programming platform for generic model management s melnik sigmod conference
1070,left,sigmod conference,"COL title VAL `` honey , i shrunk the dbms '' : footprint , mobility , and beyond ( panel ) COL authors VAL p seshadri COL venue VAL sigmod conference COL year VAL 1999","`` honey , i shrunk the dbms '' : footprint , mobility , and beyond ( panel ) p seshadri sigmod conference"
618,left,sigmod conference,"COL title VAL efficient evaluation of xml middle-ware queries COL authors VAL m fernandez , a morishima , d suciu COL venue VAL sigmod conference COL year VAL 2001",efficient evaluation of xml middle-ware queries m fernandez sigmod conference
1401,left,sigmod conference,"COL title VAL revisiting commit processing in distributed database systems COL authors VAL r gupta , j haritsa , k ramamritham COL venue VAL sigmod conference COL year VAL 1997",revisiting commit processing in distributed database systems r gupta sigmod conference
1627,left,sigmod conference,"COL title VAL the data that you wo n't find in databases : tutorial panel on data exchange formats COL authors VAL p buneman , d maier COL venue VAL sigmod conference COL year VAL 1995",the data that you wo n't find in databases : tutorial panel on data exchange formats p buneman sigmod conference
1631,left,sigmod conference,COL title VAL the lotus notes storage system COL authors VAL k moore COL venue VAL sigmod conference COL year VAL 1995,the lotus notes storage system k moore sigmod conference
722,left,sigmod record,"COL title VAL a response to r. camps ' article `` domains , relations and religious wars '' COL authors VAL c date COL venue VAL sigmod record COL year VAL 1996","a response to r. camps ' article `` domains , relations and religious wars '' c date sigmod record"
1916,left,sigmod record,COL title VAL research in database engineering at the university of namur COL authors VAL j hainaut COL venue VAL sigmod record COL year VAL 2003,research in database engineering at the university of namur j hainaut sigmod record
417,left,sigmod record,"COL title VAL videoanywhere : a system for searching and managing distributed video assets COL authors VAL a sheth , c bertram , k shah COL venue VAL sigmod record COL year VAL 1999",videoanywhere : a system for searching and managing distributed video assets a sheth sigmod record
734,left,sigmod record,"COL title VAL a framework for information visualisation COL authors VAL j kennedy , k mitchell , p barclay COL venue VAL sigmod record COL year VAL 1996",a framework for information visualisation j kennedy sigmod record
698,left,sigmod record,COL title VAL illustra 's web datablade module COL authors VAL j gaffney COL venue VAL sigmod record COL year VAL 1996,illustra 's web datablade module j gaffney sigmod record
891,left,sigmod record,COL title VAL the new middleware COL authors VAL r finkelstein COL venue VAL sigmod record COL year VAL 1995,the new middleware r finkelstein sigmod record
1836,left,sigmod record,"COL title VAL bluetooth-based sensor networks COL authors VAL p bonnet , a beaufour , m dydensborg , m leopold COL venue VAL sigmod record COL year VAL 2003",bluetooth-based sensor networks p bonnet sigmod record
1960,left,sigmod record,COL title VAL information rules COL authors VAL d stirling COL venue VAL sigmod record COL year VAL 2003,information rules d stirling sigmod record
27,left,sigmod record,"COL title VAL a multi-agent system infrastructure for software component market-place : an ontological perspective COL authors VAL r erdur , o dikenelli COL venue VAL sigmod record COL year VAL 2002",a multi-agent system infrastructure for software component market-place : an ontological perspective r erdur sigmod record
687,left,sigmod record,"COL title VAL temporal database bibliography update COL authors VAL v tsotras , a kumar COL venue VAL sigmod record COL year VAL 1996",temporal database bibliography update v tsotras sigmod record
18,left,sigmod record,"COL title VAL advances in databases and information systems ( adbis ) COL authors VAL a caplinskas , j eder , o vasilecas COL venue VAL sigmod record COL year VAL 2002",advances in databases and information systems ( adbis ) a caplinskas sigmod record
449,left,sigmod record,"COL title VAL dynamic service matchmaking among agents in open information environments COL authors VAL k sycara , m klusch , s widoff , j lu COL venue VAL sigmod record COL year VAL 1999",dynamic service matchmaking among agents in open information environments k sycara sigmod record
473,left,sigmod record,"COL title VAL on multi-resolution document transmission in mobile web COL authors VAL s yau , h leong , d mcleod , a si COL venue VAL sigmod record COL year VAL 1999",on multi-resolution document transmission in mobile web s yau sigmod record
724,left,sigmod record,COL title VAL opportunities in information management and assurance COL authors VAL x qian COL venue VAL sigmod record COL year VAL 1997,opportunities in information management and assurance x qian sigmod record
1964,left,sigmod record,COL title VAL fundamentals of data warehouses : 2nd revised and extended edition COL authors VAL v hoffner COL venue VAL sigmod record COL year VAL 2003,fundamentals of data warehouses : 2nd revised and extended edition v hoffner sigmod record
696,left,sigmod record,"COL title VAL database research at arizona state university COL authors VAL s urban , s dietrich , f golshani COL venue VAL sigmod record COL year VAL 1996",database research at arizona state university s urban sigmod record
494,left,sigmod record,"COL title VAL a distributed scientific data archive using the web , xml and sql/med COL authors VAL m papiani , j wason , a dunlop , d nicole COL venue VAL sigmod record COL year VAL 1999","a distributed scientific data archive using the web , xml and sql/med m papiani sigmod record"
522,left,sigmod record,"COL title VAL extracting entity profiles from semistructured information spaces COL authors VAL r nado , s huffman COL venue VAL sigmod record COL year VAL 1997",extracting entity profiles from semistructured information spaces r nado sigmod record
818,left,sigmod record,"COL title VAL the database group at university of hagen ( fernuniversitaet ) COL authors VAL g schlageter , t berkel , e heuel , s mittrach , a scherer , w wilkes COL venue VAL sigmod record COL year VAL 1995",the database group at university of hagen ( fernuniversitaet ) g schlageter sigmod record
1975,left,sigmod record,"COL title VAL issues in data stream management COL authors VAL l golab , m жzsu COL venue VAL sigmod record COL year VAL 2003",issues in data stream management l golab sigmod record
272,left,sigmod record,"COL title VAL incremental maintenance of recursive views using relational calculus/sql COL authors VAL g dong , j su COL venue VAL sigmod record COL year VAL 2000",incremental maintenance of recursive views using relational calculus/sql g dong sigmod record
499,left,sigmod record,"COL title VAL timer-driven database triggers and alerters : semantics and a challenge COL authors VAL e hanson , l noronha COL venue VAL sigmod record COL year VAL 1999",timer-driven database triggers and alerters : semantics and a challenge e hanson sigmod record
737,left,sigmod record,"COL title VAL the aggregate data problem : a system for their definition and management COL authors VAL m rafanelli , a bezenchek , l tininini COL venue VAL sigmod record COL year VAL 1996",the aggregate data problem : a system for their definition and management m rafanelli sigmod record
146,left,vldb,"COL title VAL implementing lazy database updates for an object database system COL authors VAL f ferrandina , t meyer , r zicari COL venue VAL vldb COL year VAL 1994",implementing lazy database updates for an object database system f ferrandina vldb
1252,left,vldb,"COL title VAL walking through a very large virtual environment in real-time COL authors VAL l shou , j chionh , z huang , y ruan , k tan COL venue VAL vldb COL year VAL 2001",walking through a very large virtual environment in real-time l shou vldb
1207,left,vldb,"COL title VAL hierarchical compact cube for range-max queries COL authors VAL s lee , t ling , h li COL venue VAL vldb COL year VAL 2000",hierarchical compact cube for range-max queries s lee vldb
2019,left,vldb,"COL title VAL integrated data management for mobile services in the real world COL authors VAL c hage , c jensen , t pedersen , l speicys , i timko COL venue VAL vldb COL year VAL 2003",integrated data management for mobile services in the real world c hage vldb
1592,left,vldb,"COL title VAL optimal histograms with quality guarantees COL authors VAL h jagadish , n koudas , s muthukrishnan , v poosala , k sevcik , t suel COL venue VAL vldb COL year VAL 1998",optimal histograms with quality guarantees h jagadish vldb
1678,left,vldb,"COL title VAL do n't scrap it , wrap it ! a wrapper architecture for legacy data sources COL authors VAL m roth , p schwarz COL venue VAL vldb COL year VAL 1997","do n't scrap it , wrap it ! a wrapper architecture for legacy data sources m roth vldb"
1601,left,vldb,"COL title VAL mindreader : querying databases through multiple examples COL authors VAL y ishikawa , r subramanya , c faloutsos COL venue VAL vldb COL year VAL 1998",mindreader : querying databases through multiple examples y ishikawa vldb
1585,left,vldb,"COL title VAL using schema matching to simplify heterogeneous data translation COL authors VAL t milo , s zohar COL venue VAL vldb COL year VAL 1998",using schema matching to simplify heterogeneous data translation t milo vldb
2231,left,vldb,COL title VAL exact indexing of dynamic time warping COL authors VAL e keogh COL venue VAL vldb COL year VAL 2002,exact indexing of dynamic time warping e keogh vldb
1126,left,vldb,"COL title VAL fast evaluation techniques for complex similarity queries COL authors VAL k bіhm , m mlivoncic , h schek , r weber COL venue VAL vldb COL year VAL 2001",fast evaluation techniques for complex similarity queries k bіhm vldb
89,left,vldb,"COL title VAL 2q : a low overhead high performance buffer management replacement algorithm COL authors VAL t johnson , d shasha COL venue VAL vldb COL year VAL 1994",2q : a low overhead high performance buffer management replacement algorithm t johnson vldb
2128,left,vldb,"COL title VAL incremental maintenance for non-distributive aggregate functions COL authors VAL t palpanas , r sidle , r cochrane , h pirahesh COL venue VAL vldb COL year VAL 2002",incremental maintenance for non-distributive aggregate functions t palpanas vldb
1096,left,vldb,"COL title VAL dynamic update cube for range-sum queries COL authors VAL s chun , c chung , j lee , s lee COL venue VAL vldb COL year VAL 2001",dynamic update cube for range-sum queries s chun vldb
2613,left,vldb,"COL title VAL modeling design versions COL authors VAL r ramakrishnan , d ram COL venue VAL vldb COL year VAL 1996",modeling design versions r ramakrishnan vldb
230,left,vldb,"COL title VAL persistent threads COL authors VAL f matthes , j schmidt COL venue VAL vldb COL year VAL 1994",persistent threads f matthes vldb
13,left,vldb,"COL title VAL the fittest survives : an adaptive approach to query optimization COL authors VAL h lu , k tan , s dao COL venue VAL vldb COL year VAL 1995",the fittest survives : an adaptive approach to query optimization h lu vldb
1623,left,vldb,"COL title VAL diag-join : an opportunistic join algorithm for 1 : n relationships COL authors VAL s helmer , t westmann , g moerkotte COL venue VAL vldb COL year VAL 1998",diag-join : an opportunistic join algorithm for 1 : n relationships s helmer vldb
1369,left,vldb,"COL title VAL multi-dimensional database allocation for parallel data warehouses COL authors VAL t stіhr , h mфrtens , e rahm COL venue VAL vldb COL year VAL 2000",multi-dimensional database allocation for parallel data warehouses t stіhr vldb
1763,left,vldb,COL title VAL the national medical knowledge bank COL authors VAL w sterling COL venue VAL vldb COL year VAL 1998,the national medical knowledge bank w sterling vldb
71,left,vldb,"COL title VAL bulk loading into an oodb : a performance study COL authors VAL j wiener , j naughton COL venue VAL vldb COL year VAL 1994",bulk loading into an oodb : a performance study j wiener vldb
1607,left,vldb,"COL title VAL hyper-programming in java COL authors VAL e zirintsis , g kirby , r morrison COL venue VAL vldb COL year VAL 1999",hyper-programming in java e zirintsis vldb
1568,left,vldb,COL title VAL dms : a parallel data mining server COL authors VAL f george COL venue VAL vldb COL year VAL 1998,dms : a parallel data mining server f george vldb
1226,left,vldb,"COL title VAL picodbms : validation and experience COL authors VAL n anciaux , c bobineau , l bouganim , p pucheral , p valduriez COL venue VAL vldb COL year VAL 2001",picodbms : validation and experience n anciaux vldb
2458,left,vldb j.,"COL title VAL complex relationships and knowledge discovery support in the infoquilt system COL authors VAL a sheth , s thacker , s patel COL venue VAL vldb j. COL year VAL 2003",complex relationships and knowledge discovery support in the infoquilt system a sheth vldb j.
2563,left,vldb j.,"COL title VAL the demarcation protocol : a technique for maintaining constraints in distributed database systems COL authors VAL d barbarс , h garcia-molina COL venue VAL vldb j. COL year VAL 1994",the demarcation protocol : a technique for maintaining constraints in distributed database systems d barbarс vldb j.
2531,left,vldb j.,"COL title VAL priority assignment in real-time active databases COL authors VAL r sivasankaran , j stankovic , d towsley , b purimetla , k ramamritham COL venue VAL vldb j. COL year VAL 1996",priority assignment in real-time active databases r sivasankaran vldb j.
2534,left,vldb j.,"COL title VAL alphasort : a cache-sensitive parallel external sort COL authors VAL c nyberg , t barclay , z cvetanovic , j gray , d lomet COL venue VAL vldb j. COL year VAL 1995",alphasort : a cache-sensitive parallel external sort c nyberg vldb j.
2385,left,vldb j.,"COL title VAL introduction ( special issue on multimedia databases ) COL authors VAL m жzsu , s christodoulakis COL venue VAL vldb j. COL year VAL 1998",introduction ( special issue on multimedia databases ) m жzsu vldb j.
2435,left,vldb j.,"COL title VAL the oodb path-method generator ( pmg ) using access weights and precomputed access relevance COL authors VAL a mehta , j geller , y perl , e neuhold COL venue VAL vldb j. COL year VAL 1998",the oodb path-method generator ( pmg ) using access weights and precomputed access relevance a mehta vldb j.
2415,left,vldb j.,"COL title VAL structured document storage and refined declarative and navigational access mechanisms in hyperstorm COL authors VAL k bіhm , k aberer , e neuhold , x yang COL venue VAL vldb j. COL year VAL 1997",structured document storage and refined declarative and navigational access mechanisms in hyperstorm k bіhm vldb j.
2391,left,vldb j.,"COL title VAL approximate similarity retrieval with m-trees COL authors VAL p zezula , p savino , g amato , f rabitti COL venue VAL vldb j. COL year VAL 1998",approximate similarity retrieval with m-trees p zezula vldb j.
2521,left,vldb j.,"COL title VAL fibonacci : a programming language for object databases COL authors VAL a albano , g ghelli , r orsini COL venue VAL vldb j. COL year VAL 1995",fibonacci : a programming language for object databases a albano vldb j.
2437,left,vldb j.,"COL title VAL data partitioning and load balancing in parallel disk systems COL authors VAL p scheuermann , g weikum , p zabback COL venue VAL vldb j. COL year VAL 1998",data partitioning and load balancing in parallel disk systems p scheuermann vldb j.
2292,left,vldb j.,"COL title VAL managing multiple and distributed ontologies on the semantic web COL authors VAL a maedche , b motik , l stojanovic COL venue VAL vldb j. COL year VAL 2003",managing multiple and distributed ontologies on the semantic web a maedche vldb j.
2515,left,vldb j.,"COL title VAL data placement in shared-nothing parallel database systems COL authors VAL m mehta , d dewitt COL venue VAL vldb j. COL year VAL 1997",data placement in shared-nothing parallel database systems m mehta vldb j.
2432,left,vldb j.,"COL title VAL exact : an extensible approach to active object-oriented databases COL authors VAL o dэaz , a jaime COL venue VAL vldb j. COL year VAL 1997",exact : an extensible approach to active object-oriented databases o dэaz vldb j.
2556,left,vldb j.,"COL title VAL dynamic maintenance of data distribution for selectivity estimation COL authors VAL k whang , s kim , g wiederhold COL venue VAL vldb j. COL year VAL 1994",dynamic maintenance of data distribution for selectivity estimation k whang vldb j.
2382,left,vldb j.,"COL title VAL efficient support for interactive service in multi-resolution vod systems COL authors VAL k law , j lui , l golubchik COL venue VAL vldb j. COL year VAL 1999",efficient support for interactive service in multi-resolution vod systems k law vldb j.
2376,left,vldb j.,"COL title VAL semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution COL authors VAL g aslan , d mcleod COL venue VAL vldb j. COL year VAL 1999",semantic heterogeneity resolution in federated databases by metadata implantation and stepwise evolution g aslan vldb j.
2410,left,vldb j.,COL title VAL the impact of technology on commercial transaction processing COL authors VAL e cobb COL venue VAL vldb j. COL year VAL 1997,the impact of technology on commercial transaction processing e cobb vldb j.
2401,left,vldb j.,"COL title VAL the lham log-structured history data access method COL authors VAL p muth , p o'neil , a pick , g weikum COL venue VAL vldb j. COL year VAL 2000",the lham log-structured history data access method p muth vldb j.
2448,left,vldb j.,"COL title VAL an authorization system for digital libraries COL authors VAL e ferrari , n adam , v atluri , e bertino , u capuozzo COL venue VAL vldb j. COL year VAL 2002",an authorization system for digital libraries e ferrari vldb j.
2463,left,vldb j.,"COL title VAL efficient schemes for managing multiversionxml documents COL authors VAL s chien , v tsotras , c zaniolo COL venue VAL vldb j. COL year VAL 2002",efficient schemes for managing multiversionxml documents s chien vldb j.
2503,left,vldb j.,"COL title VAL an architecture to support scalable online personalization on the web COL authors VAL a datta , k dutta , d vandermeer , k ramamritham , s navathe COL venue VAL vldb j. COL year VAL 2001",an architecture to support scalable online personalization on the web a datta vldb j.
2477,left,vldb j.,"COL title VAL indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches COL authors VAL c wang , x wang COL venue VAL vldb j. COL year VAL 2001",indexing very high-dimensional sparse and quasi-sparse vectors for similarity searches c wang vldb j.
2379,left,vldb j.,"COL title VAL fast joins using join indices COL authors VAL z li , k ross COL venue VAL vldb j. COL year VAL 1999",fast joins using join indices z li vldb j.
