id,title,authors,venue,year,text
17,progress through ich toward harmonization of genetic toxicology testing practices for,gs probst,"seattle , washington dc ,",,"COL title VAL progress through ich toward harmonization of genetic toxicology testing practices for COL authors VAL gs probst COL venue VAL seattle , washington dc , COL year VAL "
18,pain and leg ulceration associated with reduced abpi and atropie blanche,d hofman,"proceedings of the 2 nd meeting on measurements in wound & hellip ; ,",1998.0,"COL title VAL pain and leg ulceration associated with reduced abpi and atropie blanche COL authors VAL d hofman COL venue VAL proceedings of the 2 nd meeting on measurements in wound & hellip ; , COL year VAL 1998.0"
19,recognita plus : ocr with strength in hardware,b simon,"pc magazine ( 10 ) ,",,"COL title VAL recognita plus : ocr with strength in hardware COL authors VAL b simon COL venue VAL pc magazine ( 10 ) , COL year VAL "
20,the family transition program : implementation and interim impacts of floridaâ ?? s initial time -,"d bloom , m farrell , jj kemple , n verma",,,"COL title VAL the family transition program : implementation and interim impacts of floridaâ ?? s initial time - COL authors VAL d bloom , m farrell , jj kemple , n verma COL venue VAL  COL year VAL "
21,world population prospects : the 1996 revision,u nations,"new york ,",,"COL title VAL world population prospects : the 1996 revision COL authors VAL u nations COL venue VAL new york , COL year VAL "
22,the racing algorithm : model selection for lazy learners,"o maron , aw moore","artificial intelligence review ,",1997.0,"COL title VAL the racing algorithm : model selection for lazy learners COL authors VAL o maron , aw moore COL venue VAL artificial intelligence review , COL year VAL 1997.0"
23,survival skills for graduate school and beyond,"ba fischer , mj zigmond","new directions for higher education ,",1998.0,"COL title VAL survival skills for graduate school and beyond COL authors VAL ba fischer , mj zigmond COL venue VAL new directions for higher education , COL year VAL 1998.0"
24,consequences of migration and remittances for mexican transnational communities .,"d conway , jh cohen","economic geography ,",1998.0,"COL title VAL consequences of migration and remittances for mexican transnational communities . COL authors VAL d conway , jh cohen COL venue VAL economic geography , COL year VAL 1998.0"
25,too much middleware,m stonebraker,"sigmod record ,",2002.0,"COL title VAL too much middleware COL authors VAL m stonebraker COL venue VAL sigmod record , COL year VAL 2002.0"
26,a correctness proof for a practical byzantine-fault-tolerant replication algorithm . technical memo,"m castro , b liskov",,1999.0,"COL title VAL a correctness proof for a practical byzantine-fault-tolerant replication algorithm . technical memo COL authors VAL m castro , b liskov COL venue VAL  COL year VAL 1999.0"
27,on a stochastic optimization algorithm using ipa which updates after every customer,"ekp chong , pj ramadge","proc . 28th allerton conf . on communication , control , and & hellip ; ,",,"COL title VAL on a stochastic optimization algorithm using ipa which updates after every customer COL authors VAL ekp chong , pj ramadge COL venue VAL proc . 28th allerton conf . on communication , control , and & hellip ; , COL year VAL "
28,flight to objectivity : essays on cartesianism and culture,s bordo,,,COL title VAL flight to objectivity : essays on cartesianism and culture COL authors VAL s bordo COL venue VAL  COL year VAL 
29,capturing design rationale in concurrent engineering teams,m klein,,,COL title VAL capturing design rationale in concurrent engineering teams COL authors VAL m klein COL venue VAL  COL year VAL 
30,chromosome banding in x-linked mental retardation,c fonatsch,"lancet i ,",,"COL title VAL chromosome banding in x-linked mental retardation COL authors VAL c fonatsch COL venue VAL lancet i , COL year VAL "
31,wanted : true believers,f hayes,"computerworld ,",,"COL title VAL wanted : true believers COL authors VAL f hayes COL venue VAL computerworld , COL year VAL "
32,multirate analog-digital systems for signal processing and conversion,"j franca , a petraglia , sk mitra","proceedings of the ieee ,",1997.0,"COL title VAL multirate analog-digital systems for signal processing and conversion COL authors VAL j franca , a petraglia , sk mitra COL venue VAL proceedings of the ieee , COL year VAL 1997.0"
33,an empirical review of price behaviour on the internet,h riquelme,"electronic markets ,",2001.0,"COL title VAL an empirical review of price behaviour on the internet COL authors VAL h riquelme COL venue VAL electronic markets , COL year VAL 2001.0"
34,"psm : software tool for simulating , prototyping , and monitoring of multiprocessor systems","a stafylopatis , i papakonstantinou , s kaxiras","information and software technology ,",1992.0,"COL title VAL psm : software tool for simulating , prototyping , and monitoring of multiprocessor systems COL authors VAL a stafylopatis , i papakonstantinou , s kaxiras COL venue VAL information and software technology , COL year VAL 1992.0"
35,electrocardiographic manifestations : patterns that confound the ekg diagnosis of acute myocardial,"wj brady , tc chan , m pollack","journal of emergency medicine ,",2000.0,"COL title VAL electrocardiographic manifestations : patterns that confound the ekg diagnosis of acute myocardial COL authors VAL wj brady , tc chan , m pollack COL venue VAL journal of emergency medicine , COL year VAL 2000.0"
36,learning with kernels [ ph. d. thesis ],aj smola,"technical university of berlin ,",,"COL title VAL learning with kernels [ ph. d. thesis ] COL authors VAL aj smola COL venue VAL technical university of berlin , COL year VAL "
37,caldwell,"p consultants , b pc","& hellip ; for comparison of supplemental technology demonstration & hellip ; ,",,"COL title VAL caldwell COL authors VAL p consultants , b pc COL venue VAL & hellip ; for comparison of supplemental technology demonstration & hellip ; , COL year VAL "
38,data in your face '' : push technology in perspective ( invited paper ) acm sigmod intl,"m franklin , s zdonik","conference on management of data , seattle , wa , june ,",,"COL title VAL data in your face '' : push technology in perspective ( invited paper ) acm sigmod intl COL authors VAL m franklin , s zdonik COL venue VAL conference on management of data , seattle , wa , june , COL year VAL "
39,"service specification and protocol construction for a layered architecture , university of maryland",sl murphy,"md ,",,"COL title VAL service specification and protocol construction for a layered architecture , university of maryland COL authors VAL sl murphy COL venue VAL md , COL year VAL "
40,foot orthoses . . williams & wilkins : baltimore,kk wu,"md ,",,"COL title VAL foot orthoses . . williams & wilkins : baltimore COL authors VAL kk wu COL venue VAL md , COL year VAL "
41,tools for statistical inference,ma tanner,,1993.0,COL title VAL tools for statistical inference COL authors VAL ma tanner COL venue VAL  COL year VAL 1993.0
42,temperatures necessary to kill fungi in wood,s chidester,"proceedings of the 23rd annual meeting of the american wood - & hellip ; ,",,"COL title VAL temperatures necessary to kill fungi in wood COL authors VAL s chidester COL venue VAL proceedings of the 23rd annual meeting of the american wood - & hellip ; , COL year VAL "
43,modeling and analysis of a traveling wave tube under multitone excitation,jg wohlbier,,2000.0,COL title VAL modeling and analysis of a traveling wave tube under multitone excitation COL authors VAL jg wohlbier COL venue VAL  COL year VAL 2000.0
44,lohman . gm r * optimizer validation and performance evaluation for local queries,lf mackert,"proceedings of sigmodâ ?? 86 . washington . may ,",,"COL title VAL lohman . gm r * optimizer validation and performance evaluation for local queries COL authors VAL lf mackert COL venue VAL proceedings of sigmodâ ?? 86 . washington . may , COL year VAL "
45,load balancing in dynamic structured p2p systems,ssy patel,,,COL title VAL load balancing in dynamic structured p2p systems COL authors VAL ssy patel COL venue VAL  COL year VAL 
46,virtual communities of transaction : the role of personalization in electronic commerce,p schubert,"electronic markets ,",2000.0,"COL title VAL virtual communities of transaction : the role of personalization in electronic commerce COL authors VAL p schubert COL venue VAL electronic markets , COL year VAL 2000.0"
47,unitary representations realized in l 2-sections of vector bundles over semi-simple symmetric spaces,t kobayashi,proc . of the 27-28th symp . of funct . anal . and real anal . (,,COL title VAL unitary representations realized in l 2-sections of vector bundles over semi-simple symmetric spaces COL authors VAL t kobayashi COL venue VAL proc . of the 27-28th symp . of funct . anal . and real anal . ( COL year VAL 
48,dimethyl ether ( dme ) spray characteristics in a common-rail fuel injection system .,j yu,"proceedings of the institution of mechanical engineers d , & hellip ; ,",2003.0,"COL title VAL dimethyl ether ( dme ) spray characteristics in a common-rail fuel injection system . COL authors VAL j yu COL venue VAL proceedings of the institution of mechanical engineers d , & hellip ; , COL year VAL 2003.0"
49,"crypt breakerâ ?? s workbench users manual , ''",rw baldwin,"mit laboratory for computer science ( october 1986 ) , unpublished",,"COL title VAL crypt breakerâ ?? s workbench users manual , '' COL authors VAL rw baldwin COL venue VAL mit laboratory for computer science ( october 1986 ) , unpublished COL year VAL "
50,nasal continuous positive airways pressure immediately after extubation for preventing morbidity in,"pg davis , dj henderson-smart","cochrane database syst rev ,",2000.0,"COL title VAL nasal continuous positive airways pressure immediately after extubation for preventing morbidity in COL authors VAL pg davis , dj henderson-smart COL venue VAL cochrane database syst rev , COL year VAL 2000.0"
51,"mentoring undergraduate minority students : an overview , survey , and model program","mc terrell , rk hassell","new directions for teaching and learning ,",1994.0,"COL title VAL mentoring undergraduate minority students : an overview , survey , and model program COL authors VAL mc terrell , rk hassell COL venue VAL new directions for teaching and learning , COL year VAL 1994.0"
52,optimally sparse representations in general dictionaries by l 1 minimization,"d donoho , m elad","technical report , statistics department , stanford university ,",,"COL title VAL optimally sparse representations in general dictionaries by l 1 minimization COL authors VAL d donoho , m elad COL venue VAL technical report , statistics department , stanford university , COL year VAL "
53,tunning red for web traffic,"m christiansen , k jeffay , d ott , fd smith",proc .,,"COL title VAL tunning red for web traffic COL authors VAL m christiansen , k jeffay , d ott , fd smith COL venue VAL proc . COL year VAL "
54,a sigma ~ 3 type condition for heavy cycles in weighted graphs,"s zhang , x li , h broersma","discussiones mathematicae graph theory ,",2001.0,"COL title VAL a sigma ~ 3 type condition for heavy cycles in weighted graphs COL authors VAL s zhang , x li , h broersma COL venue VAL discussiones mathematicae graph theory , COL year VAL 2001.0"
55,"qualitative â ?? â ?? versusâ ?? â ?? quantitative methods in social research , dept of sociology , u",t wilson,"california at santa barbara ,",,"COL title VAL qualitative â ?? â ?? versusâ ?? â ?? quantitative methods in social research , dept of sociology , u COL authors VAL t wilson COL venue VAL california at santa barbara , COL year VAL "
56,the art of deliberalizing : a handbook for the true professional .,wc booth,"new directions for teaching and learning ,",1990.0,"COL title VAL the art of deliberalizing : a handbook for the true professional . COL authors VAL wc booth COL venue VAL new directions for teaching and learning , COL year VAL 1990.0"
57,"ã cents â ? ¬ å?conflict detection tradeoffs for replicated data , ã cents â ? ¬ â ?","jm carey , m livny",acm,,"COL title VAL ã cents â ? ¬ å?conflict detection tradeoffs for replicated data , ã cents â ? ¬ â ? COL authors VAL jm carey , m livny COL venue VAL acm COL year VAL "
58,internal and external motivation to respond without prejudice,"e ashby plant , pg devine","journal of personality and social psychology ,",1998.0,"COL title VAL internal and external motivation to respond without prejudice COL authors VAL e ashby plant , pg devine COL venue VAL journal of personality and social psychology , COL year VAL 1998.0"
59,white christmas could become dream .,w brandel,"computerworld. ,",1989.0,"COL title VAL white christmas could become dream . COL authors VAL w brandel COL venue VAL computerworld. , COL year VAL 1989.0"
60,virtual reality : through the new looking glass,"k pimentel , k teixeira",,1993.0,"COL title VAL virtual reality : through the new looking glass COL authors VAL k pimentel , k teixeira COL venue VAL  COL year VAL 1993.0"
61,"biological data management : research , practice and opportunities",t topaloglou,"proceedings of the international conference on very large & hellip ; ,",2004.0,"COL title VAL biological data management : research , practice and opportunities COL authors VAL t topaloglou COL venue VAL proceedings of the international conference on very large & hellip ; , COL year VAL 2004.0"
62,myocardial infarction and the emotional climate,"ah crisp , m queenan , mf d'souzaâ ? ¦","lancet , i ,",1984.0,"COL title VAL myocardial infarction and the emotional climate COL authors VAL ah crisp , m queenan , mf d'souzaâ ? ¦ COL venue VAL lancet , i , COL year VAL 1984.0"
63,"a resource for your cosmetology career , 2000 edition",s fundamentals,,,"COL title VAL a resource for your cosmetology career , 2000 edition COL authors VAL s fundamentals COL venue VAL  COL year VAL "
64,on the nature of continental shelves : academic press,jj walsh,"san diego ,",,"COL title VAL on the nature of continental shelves : academic press COL authors VAL jj walsh COL venue VAL san diego , COL year VAL "
65,detection of change-points in nonparametric regression,pl speckman,"unpublished manuscript ,",1994.0,"COL title VAL detection of change-points in nonparametric regression COL authors VAL pl speckman COL venue VAL unpublished manuscript , COL year VAL 1994.0"
66,measuring the light regime under vegetation .,ca federer,,1964.0,COL title VAL measuring the light regime under vegetation . COL authors VAL ca federer COL venue VAL  COL year VAL 1964.0
67,predicting the benefits of information retrieval techniques,a arnt,,,COL title VAL predicting the benefits of information retrieval techniques COL authors VAL a arnt COL venue VAL  COL year VAL 
68,"visualization , optimization , and business strategy","dl gresh , ei kelton","d. gresh , e. kelton , proceedings , ieee visualization ,",,"COL title VAL visualization , optimization , and business strategy COL authors VAL dl gresh , ei kelton COL venue VAL d. gresh , e. kelton , proceedings , ieee visualization , COL year VAL "
69,the defect structure and mechanical properties of spinel single crystals,mh lewis,"phil . mag ,",,"COL title VAL the defect structure and mechanical properties of spinel single crystals COL authors VAL mh lewis COL venue VAL phil . mag , COL year VAL "
70,real-time networking for the implementation of cim,"lr lin , hp huang",proc . int . conf . automation,,"COL title VAL real-time networking for the implementation of cim COL authors VAL lr lin , hp huang COL venue VAL proc . int . conf . automation COL year VAL "
71,progress in the development of large area sub-millimeter resolution cdznte strip detectors,"jr macri , dv boykin , k larson , m mayer , ml","proc . spie ,",1996.0,"COL title VAL progress in the development of large area sub-millimeter resolution cdznte strip detectors COL authors VAL jr macri , dv boykin , k larson , m mayer , ml COL venue VAL proc . spie , COL year VAL 1996.0"
72,convergent stakeholder theory,"tm jones , ac wicks","the academy of management review ,",1999.0,"COL title VAL convergent stakeholder theory COL authors VAL tm jones , ac wicks COL venue VAL the academy of management review , COL year VAL 1999.0"
73,hierarchical grouping in artificial intelligence . aaai spring symposium on artificial intelligence,m mortimer,,2000.0,COL title VAL hierarchical grouping in artificial intelligence . aaai spring symposium on artificial intelligence COL authors VAL m mortimer COL venue VAL  COL year VAL 2000.0
74,students in learning groups : active learning through conversation,"c bouton , ry garth","learning in groups , new directions for teaching and",,"COL title VAL students in learning groups : active learning through conversation COL authors VAL c bouton , ry garth COL venue VAL learning in groups , new directions for teaching and COL year VAL "
75,hierarchical and variation geometric modeling with wavelets . in proceedings of the 1995 symposium on,"sj gortler , mf cohen",,1995.0,"COL title VAL hierarchical and variation geometric modeling with wavelets . in proceedings of the 1995 symposium on COL authors VAL sj gortler , mf cohen COL venue VAL  COL year VAL 1995.0"
76,"process specification language : an analysis of existing representations , nistir 6160 , national","a knutilla , c schlenoff , s ray , st polyak , a tate ,","md ,",,"COL title VAL process specification language : an analysis of existing representations , nistir 6160 , national COL authors VAL a knutilla , c schlenoff , s ray , st polyak , a tate , COL venue VAL md , COL year VAL "
77,new chance : implementing a comprehensive program for teenage parents and their children,"j quint , b fink , s rowser",,1991.0,"COL title VAL new chance : implementing a comprehensive program for teenage parents and their children COL authors VAL j quint , b fink , s rowser COL venue VAL  COL year VAL 1991.0"
78,adding some spice to csi curricula,"g holmes , tc smith","proceedings of szgcse â ?? 97 ,",1997.0,"COL title VAL adding some spice to csi curricula COL authors VAL g holmes , tc smith COL venue VAL proceedings of szgcse â ?? 97 , COL year VAL 1997.0"
79,hardware and system architecture for a very large database,"r healey , b heckman","vldb ,",1975.0,"COL title VAL hardware and system architecture for a very large database COL authors VAL r healey , b heckman COL venue VAL vldb , COL year VAL 1975.0"
80,genetic-algorithm programming environments,"jlr filho , pc treleaven , c alippi",,,"COL title VAL genetic-algorithm programming environments COL authors VAL jlr filho , pc treleaven , c alippi COL venue VAL  COL year VAL "
81,interactive med . 3d-simulations by means of stereoscopy and standard hardware,"h wã ¶ rn , j mã 1/4 hlingâ ? ¦","rechner-u . sensorgestã 1/4 tzte chirurgie-procs , gi ,",,"COL title VAL interactive med . 3d-simulations by means of stereoscopy and standard hardware COL authors VAL h wã ¶ rn , j mã 1/4 hlingâ ? ¦ COL venue VAL rechner-u . sensorgestã 1/4 tzte chirurgie-procs , gi , COL year VAL "
82,"semantics , pragmatics , and second language acquisition : the case of combien extractions","l dekydtspotter , ra sprouse , k swanson , r thyre","proceedings of the 23rd annual boston university conference & hellip ; ,",,"COL title VAL semantics , pragmatics , and second language acquisition : the case of combien extractions COL authors VAL l dekydtspotter , ra sprouse , k swanson , r thyre COL venue VAL proceedings of the 23rd annual boston university conference & hellip ; , COL year VAL "
83,"coauthors , 2003 : european temperature variability over the last 500 years , uncertainties , extremes",j luterbacher,,,"COL title VAL coauthors , 2003 : european temperature variability over the last 500 years , uncertainties , extremes COL authors VAL j luterbacher COL venue VAL  COL year VAL "
84,understandittg activex and ole,d chappell,,,COL title VAL understandittg activex and ole COL authors VAL d chappell COL venue VAL  COL year VAL 
85,"object , message , and performance : how they coexist in self","d ungar , rb smith , c chambers",,,"COL title VAL object , message , and performance : how they coexist in self COL authors VAL d ungar , rb smith , c chambers COL venue VAL  COL year VAL "
86,lisp .,vr pratt,,1977.0,COL title VAL lisp . COL authors VAL vr pratt COL venue VAL  COL year VAL 1977.0
87,"stevens ce , harley ej , zang ea , oleszko wr , william dc , et al",w szmuness,"hepatitis b vaccine : demonstration of efficacy in a & hellip ; ,",,"COL title VAL stevens ce , harley ej , zang ea , oleszko wr , william dc , et al COL authors VAL w szmuness COL venue VAL hepatitis b vaccine : demonstration of efficacy in a & hellip ; , COL year VAL "
88,sybase iq multiplex-designed for analytics,"r macnicol , b french",,,"COL title VAL sybase iq multiplex-designed for analytics COL authors VAL r macnicol , b french COL venue VAL  COL year VAL "
89,characterizing the effects of clock jitter due to substrate noise in discrete-time 1 = 6 modulators,p heydari,"proc . ieee/acm design automation conf ,",,"COL title VAL characterizing the effects of clock jitter due to substrate noise in discrete-time 1 = 6 modulators COL authors VAL p heydari COL venue VAL proc . ieee/acm design automation conf , COL year VAL "
90,algebraic attacks on combiners with memory,"f armknecht , m krause",,,"COL title VAL algebraic attacks on combiners with memory COL authors VAL f armknecht , m krause COL venue VAL  COL year VAL "
91,congenital diaphragmatic hernia-morgagni type,"l sinclair , bl klein","journal of emergency medicine ,",1993.0,"COL title VAL congenital diaphragmatic hernia-morgagni type COL authors VAL l sinclair , bl klein COL venue VAL journal of emergency medicine , COL year VAL 1993.0"
92,acquiring student feedback that improves instruction .,hg murray,"new directions for teaching and learning ,",1987.0,"COL title VAL acquiring student feedback that improves instruction . COL authors VAL hg murray COL venue VAL new directions for teaching and learning , COL year VAL 1987.0"
93,drafter : an interactive support tool for writing multilingual instructions,"c paris , k vander linden",,,"COL title VAL drafter : an interactive support tool for writing multilingual instructions COL authors VAL c paris , k vander linden COL venue VAL  COL year VAL "
94,bill 1989â ?? select committee,p offences,,,COL title VAL bill 1989â ?? select committee COL authors VAL p offences COL venue VAL  COL year VAL 
95,new developments in laser resonators,ae siegman,,1990.0,COL title VAL new developments in laser resonators COL authors VAL ae siegman COL venue VAL  COL year VAL 1990.0
96,on modelling behavloural semantics of data,m brodm,"proc 7th int &#39; l conf vldb ,",,"COL title VAL on modelling behavloural semantics of data COL authors VAL m brodm COL venue VAL proc 7th int &#39; l conf vldb , COL year VAL "
97,comparing data streams using hamming norms ( how to zero in ),"g cormode , m datar , p indyk , s muthukrishnan","ieee transactions on knowledge and data engineering ,",2003.0,"COL title VAL comparing data streams using hamming norms ( how to zero in ) COL authors VAL g cormode , m datar , p indyk , s muthukrishnan COL venue VAL ieee transactions on knowledge and data engineering , COL year VAL 2003.0"
98,a quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria,"dm webber , ip braidman , wr robertson , dc anderson","the histochemical journal ,",1988.0,"COL title VAL a quantitative cytochemical assay for osteoclast acid phosphatase activity in foetal rat calvaria COL authors VAL dm webber , ip braidman , wr robertson , dc anderson COL venue VAL the histochemical journal , COL year VAL 1988.0"
99,what are the national regimes and local traditions of social welfare and their historical derivation,r greca,,1995.0,COL title VAL what are the national regimes and local traditions of social welfare and their historical derivation COL authors VAL r greca COL venue VAL  COL year VAL 1995.0
100,gastroenteritis due to kanagawa negative vibrio parahaemolyticus,", i goto , i minematsu , n ikeda , n asano , m","lancet i ,",1987.0,"COL title VAL gastroenteritis due to kanagawa negative vibrio parahaemolyticus COL authors VAL , i goto , i minematsu , n ikeda , n asano , m COL venue VAL lancet i , COL year VAL 1987.0"
101,devise : integrated queryingand visual explorationof large datasets,"m livny , r ramakrishnan , k beyer , g chen , d","proceedings of the 1997acm-sigmod conference ,",,"COL title VAL devise : integrated queryingand visual explorationof large datasets COL authors VAL m livny , r ramakrishnan , k beyer , g chen , d COL venue VAL proceedings of the 1997acm-sigmod conference , COL year VAL "
102,efficient numerical error bounding for replicated network services,hy aminvahdat,"technical report cs-2000-08 , computer science department , duke",,"COL title VAL efficient numerical error bounding for replicated network services COL authors VAL hy aminvahdat COL venue VAL technical report cs-2000-08 , computer science department , duke COL year VAL "
103,unsupervised image segmentation by stochastic reconstruction,"v metzler , r vandenhouten , j krone , r grebe",,,"COL title VAL unsupervised image segmentation by stochastic reconstruction COL authors VAL v metzler , r vandenhouten , j krone , r grebe COL venue VAL  COL year VAL "
104,affinity relation discovery in image database clustering and content-based retrieval,"ml shyu , sc chen , m chen , c zhang","proceedings of the 12th annual acm international conference & hellip ; ,",2004.0,"COL title VAL affinity relation discovery in image database clustering and content-based retrieval COL authors VAL ml shyu , sc chen , m chen , c zhang COL venue VAL proceedings of the 12th annual acm international conference & hellip ; , COL year VAL 2004.0"
105,vision-based pedestrian detection : will ants help ?,"m bertozzi , a broggi , a fascioli",,,"COL title VAL vision-based pedestrian detection : will ants help ? COL authors VAL m bertozzi , a broggi , a fascioli COL venue VAL  COL year VAL "
106,evaluating administrators .,dp hoyt,"new directions for higher education ,",1982.0,"COL title VAL evaluating administrators . COL authors VAL dp hoyt COL venue VAL new directions for higher education , COL year VAL 1982.0"
107,initial results from the euv engineering test stand,"d tichenor , a ray-chaudhuri , s lee , h chapman , w",,,"COL title VAL initial results from the euv engineering test stand COL authors VAL d tichenor , a ray-chaudhuri , s lee , h chapman , w COL venue VAL  COL year VAL "
108,information gathering in the world wide web : the w3ql query language and the w3qs system,"d konopnicki , o shmueli","acm transactions on database systems ,",1998.0,"COL title VAL information gathering in the world wide web : the w3ql query language and the w3qs system COL authors VAL d konopnicki , o shmueli COL venue VAL acm transactions on database systems , COL year VAL 1998.0"
109,on the design of a distributed query processing algorithm,"ct yu , c chang , m templeton , d brill , e lund",proceedings of the acm-sigmod international conference on,,"COL title VAL on the design of a distributed query processing algorithm COL authors VAL ct yu , c chang , m templeton , d brill , e lund COL venue VAL proceedings of the acm-sigmod international conference on COL year VAL "
110,"babel : a testbed for research in origins of language , 1998",a mcintyre,submitted for,,"COL title VAL babel : a testbed for research in origins of language , 1998 COL authors VAL a mcintyre COL venue VAL submitted for COL year VAL "
111,observations of frontal zone structures with a vhf doppler radar and radiosondes,"mf larsen , j roettger","conference on radar meteorology , 22 nd , zurich , switzerland ,",1984.0,"COL title VAL observations of frontal zone structures with a vhf doppler radar and radiosondes COL authors VAL mf larsen , j roettger COL venue VAL conference on radar meteorology , 22 nd , zurich , switzerland , COL year VAL 1984.0"
112,"when gulliver travels : social context , psychological closeness , and self-appraisals","jd brown , nj novick , ka lord , jm richards","journal of personality and social psychology ,",,"COL title VAL when gulliver travels : social context , psychological closeness , and self-appraisals COL authors VAL jd brown , nj novick , ka lord , jm richards COL venue VAL journal of personality and social psychology , COL year VAL "
113,list of acronyms,anxan exchange,"bt technology journal ,",2001.0,"COL title VAL list of acronyms COL authors VAL anxan exchange COL venue VAL bt technology journal , COL year VAL 2001.0"
114,"survey of job shop scheduling techniques , nistir , national institute of standards and technology ,","a jones , lc rabelo","md ,",,"COL title VAL survey of job shop scheduling techniques , nistir , national institute of standards and technology , COL authors VAL a jones , lc rabelo COL venue VAL md , COL year VAL "
115,energy conservation 2000 mayville and horicon : a study of a community-based program,"b neal , c sabo","wisconsin demand-side demonstration , april ,",,"COL title VAL energy conservation 2000 mayville and horicon : a study of a community-based program COL authors VAL b neal , c sabo COL venue VAL wisconsin demand-side demonstration , april , COL year VAL "
116,"heated , humidified air for the common cold",m singh,"cochrane database syst rev ,",2000.0,"COL title VAL heated , humidified air for the common cold COL authors VAL m singh COL venue VAL cochrane database syst rev , COL year VAL 2000.0"
117,code compression,"j ernst , w evans , cw fraser , ta proebsting , s","proceedings of the acm sigplan 1997 conference on & hellip ; ,",1997.0,"COL title VAL code compression COL authors VAL j ernst , w evans , cw fraser , ta proebsting , s COL venue VAL proceedings of the acm sigplan 1997 conference on & hellip ; , COL year VAL 1997.0"
