id,title,authors,venue,year,text
26,neurorule : a connectionist approach to data mining,"h lu , r setiono , h liu",vldb,1995,"COL title VAL neurorule : a connectionist approach to data mining COL authors VAL h lu , r setiono , h liu COL venue VAL vldb COL year VAL 1995"
27,a multi-agent system infrastructure for software component market-place : an ontological perspective,"r erdur , o dikenelli",sigmod record,2002,"COL title VAL a multi-agent system infrastructure for software component market-place : an ontological perspective COL authors VAL r erdur , o dikenelli COL venue VAL sigmod record COL year VAL 2002"
28,improving performance in replicated databases through relaxed coherency,"r gallersdіrfer , m nicola",vldb,1995,"COL title VAL improving performance in replicated databases through relaxed coherency COL authors VAL r gallersdіrfer , m nicola COL venue VAL vldb COL year VAL 1995"
29,an active functionality service for e-business applications,"m cilia , a buchmann",sigmod record,2002,"COL title VAL an active functionality service for e-business applications COL authors VAL m cilia , a buchmann COL venue VAL sigmod record COL year VAL 2002"
30,contracting in the days of ebusiness,"w hќmmer , w lehner , h wedekind",sigmod record,2002,"COL title VAL contracting in the days of ebusiness COL authors VAL w hќmmer , w lehner , h wedekind COL venue VAL sigmod record COL year VAL 2002"
31,redo recovery after system crashes,"d lomet , m tuttle",vldb,1995,"COL title VAL redo recovery after system crashes COL authors VAL d lomet , m tuttle COL venue VAL vldb COL year VAL 1995"
32,db2 query parallelism : staging and implementation,y wang,vldb,1995,COL title VAL db2 query parallelism : staging and implementation COL authors VAL y wang COL venue VAL vldb COL year VAL 1995
33,david dewitt speaks out,m winslett,ecord,2002,COL title VAL david dewitt speaks out COL authors VAL m winslett COL venue VAL ecord COL year VAL 2002
34,a product specification database for visual prototyping,"k sumiya , k yasutake , h tanaka , n sanada , y imai",vldb,1995,"COL title VAL a product specification database for visual prototyping COL authors VAL k sumiya , k yasutake , h tanaka , n sanada , y imai COL venue VAL vldb COL year VAL 1995"
35,from ternary relationship to relational tables : a case against common beliefs,r camps,sigmod record,2002,COL title VAL from ternary relationship to relational tables : a case against common beliefs COL authors VAL r camps COL venue VAL sigmod record COL year VAL 2002
36,database de-centralization - a practical approach,"t didriksen , c galindo-legaria , e dahle",vldb,1995,"COL title VAL database de-centralization - a practical approach COL authors VAL t didriksen , c galindo-legaria , e dahle COL venue VAL vldb COL year VAL 1995"
37,cluster validity methods : part i,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002,"COL title VAL cluster validity methods : part i COL authors VAL m halkidi , y batistakis , m vazirgiannis COL venue VAL sigmod record COL year VAL 2002"
38,a pictorial query language for querying geographic databases using positional and olap operators,"e pourabbas , m rafanelli",sigmod record,2002,"COL title VAL a pictorial query language for querying geographic databases using positional and olap operators COL authors VAL e pourabbas , m rafanelli COL venue VAL sigmod record COL year VAL 2002"
39,benchmarking spatial join operations with spatial output,"e hoel , h samet",vldb,1995,"COL title VAL benchmarking spatial join operations with spatial output COL authors VAL e hoel , h samet COL venue VAL vldb COL year VAL 1995"
40,bringing order to query optimization,"g slivinskas , c jensen , r snodgrass",sigmod record,2002,"COL title VAL bringing order to query optimization COL authors VAL g slivinskas , c jensen , r snodgrass COL venue VAL sigmod record COL year VAL 2002"
41,bigsur : a system for the management of earth science data,"p brown , m stonebraker",vldb,1995,"COL title VAL bigsur : a system for the management of earth science data COL authors VAL p brown , m stonebraker COL venue VAL vldb COL year VAL 1995"
42,editor 's notes,l liu,sigmod record,2002,COL title VAL editor 's notes COL authors VAL l liu COL venue VAL sigmod record COL year VAL 2002
43,efficient search of multi-dimensional b-trees,"h leslie , r jain , d birdsall , h yaghmai",vldb,1995,"COL title VAL efficient search of multi-dimensional b-trees COL authors VAL h leslie , r jain , d birdsall , h yaghmai COL venue VAL vldb COL year VAL 1995"
44,research activities in database management and information retrieval at the university of illinois at chicago,"i cruz , a khokhar , b liu , a sistla , o wolfson , c yu",sigmod record,2002,"COL title VAL research activities in database management and information retrieval at the university of illinois at chicago COL authors VAL i cruz , a khokhar , b liu , a sistla , o wolfson , c yu COL venue VAL sigmod record COL year VAL 2002"
45,accessing a relational database through an object-oriented database interface,"j orenstein , d kamber",vldb,1995,"COL title VAL accessing a relational database through an object-oriented database interface COL authors VAL j orenstein , d kamber COL venue VAL vldb COL year VAL 1995"
46,interviewing during a tight job market,,,2002,COL title VAL interviewing during a tight job market COL authors VAL  COL venue VAL  COL year VAL 2002
47,"db2 common server : technology , progress , & directions",b lindsay,vldb,1995,"COL title VAL db2 common server : technology , progress , & directions COL authors VAL b lindsay COL venue VAL vldb COL year VAL 1995"
48,investigating xquery for querying across database object types,n wiegand,sigmod record,2002,COL title VAL investigating xquery for querying across database object types COL authors VAL n wiegand COL venue VAL sigmod record COL year VAL 2002
49,w3qs : a query system for the world-wide web,"d konopnicki , o shmueli",vldb,1995,"COL title VAL w3qs : a query system for the world-wide web COL authors VAL d konopnicki , o shmueli COL venue VAL vldb COL year VAL 1995"
50,the design of a retrieval technique for high-dimensional data on tertiary storage,"r orlandic , j lukaszuk , c swietlik",sigmod record,2002,"COL title VAL the design of a retrieval technique for high-dimensional data on tertiary storage COL authors VAL r orlandic , j lukaszuk , c swietlik COL venue VAL sigmod record COL year VAL 2002"
51,oodb bulk loading revisited : the partitioned-list approach,"j wiener , j naughton",vldb,1995,"COL title VAL oodb bulk loading revisited : the partitioned-list approach COL authors VAL j wiener , j naughton COL venue VAL vldb COL year VAL 1995"
52,chair 's message,,,2002,COL title VAL chair 's message COL authors VAL  COL venue VAL  COL year VAL 2002
53,the double life of the transaction abstraction : fundamental principle and evolving system concept,h korth,vldb,1995,COL title VAL the double life of the transaction abstraction : fundamental principle and evolving system concept COL authors VAL h korth COL venue VAL vldb COL year VAL 1995
54,combining fuzzy information : an overview,r fagin,sigmod record,2002,COL title VAL combining fuzzy information : an overview COL authors VAL r fagin COL venue VAL sigmod record COL year VAL 2002
55,databases and workflow management : what is it all about ? ( panel ),"a reuter , s ceri , j gray , b salzberg , g weikum",vldb,1995,"COL title VAL databases and workflow management : what is it all about ? ( panel ) COL authors VAL a reuter , s ceri , j gray , b salzberg , g weikum COL venue VAL vldb COL year VAL 1995"
56,index concurrency control in firm real-time database systems,"b goyal , j haritsa , s seshadri , v srinivasan",vldb,1995,"COL title VAL index concurrency control in firm real-time database systems COL authors VAL b goyal , j haritsa , s seshadri , v srinivasan COL venue VAL vldb COL year VAL 1995"
57,a brief survey of web data extraction tools,"a laender , b ribeiro-neto , a silva , j teixeira",sigmod record,2002,"COL title VAL a brief survey of web data extraction tools COL authors VAL a laender , b ribeiro-neto , a silva , j teixeira COL venue VAL sigmod record COL year VAL 2002"
58,value-cognizant speculative concurrency control,"a bestavros , s braoudakis",vldb,1995,"COL title VAL value-cognizant speculative concurrency control COL authors VAL a bestavros , s braoudakis COL venue VAL vldb COL year VAL 1995"
59,data warehousing and business intelligence for e-commerce - book review,f goethals,sigmod record,2002,COL title VAL data warehousing and business intelligence for e-commerce - book review COL authors VAL f goethals COL venue VAL sigmod record COL year VAL 2002
60,data mining : concepts and techniques - book review,"f galiano , n marэn",sigmod record,2002,"COL title VAL data mining : concepts and techniques - book review COL authors VAL f galiano , n marэn COL venue VAL sigmod record COL year VAL 2002"
61,a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system,"k wu , p yu , j chung , j teng",vldb,1995,"COL title VAL a performance study of workfile disk management for concurrent mergesorts in a multiprocessor database system COL authors VAL k wu , p yu , j chung , j teng COL venue VAL vldb COL year VAL 1995"
62,hot block clustering for disk arrays with dynamic striping,"k mogi , m kitsuregawa",vldb,1995,"COL title VAL hot block clustering for disk arrays with dynamic striping COL authors VAL k mogi , m kitsuregawa COL venue VAL vldb COL year VAL 1995"
63,book review column,k aberer,sigmod record,2002,COL title VAL book review column COL authors VAL k aberer COL venue VAL sigmod record COL year VAL 2002
64,tods perceptions and misconceptions,r snodgrass,sigmod record,2002,COL title VAL tods perceptions and misconceptions COL authors VAL r snodgrass COL venue VAL sigmod record COL year VAL 2002
65,an approach for building secure database federations,"d jonscher , k dittrich",vldb,1994,"COL title VAL an approach for building secure database federations COL authors VAL d jonscher , k dittrich COL venue VAL vldb COL year VAL 1994"
66,the cougar approach to in-network query processing in sensor networks,"y yao , j gehrke",sigmod record,2002,"COL title VAL the cougar approach to in-network query processing in sensor networks COL authors VAL y yao , j gehrke COL venue VAL sigmod record COL year VAL 2002"
67,dalэ : a high performance main memory storage manager,"h jagadish , d lieuwen , r rastogi , a silberschatz , s sudarshan",vldb,1994,"COL title VAL dalэ : a high performance main memory storage manager COL authors VAL h jagadish , d lieuwen , r rastogi , a silberschatz , s sudarshan COL venue VAL vldb COL year VAL 1994"
68,introduction to constraint databases - book review,,,2002,COL title VAL introduction to constraint databases - book review COL authors VAL  COL venue VAL  COL year VAL 2002
69,"fast , randomized join-order selection - why use transformations ?","c galindo-legaria , a pellenkoft , m kersten",vldb,1994,"COL title VAL fast , randomized join-order selection - why use transformations ? COL authors VAL c galindo-legaria , a pellenkoft , m kersten COL venue VAL vldb COL year VAL 1994"
70,foundations of statistical natural language processing - book review,,,2002,COL title VAL foundations of statistical natural language processing - book review COL authors VAL  COL venue VAL  COL year VAL 2002
71,bulk loading into an oodb : a performance study,"j wiener , j naughton",vldb,1994,"COL title VAL bulk loading into an oodb : a performance study COL authors VAL j wiener , j naughton COL venue VAL vldb COL year VAL 1994"
72,efficient and effective clustering methods for spatial data mining,"r ng , j han",vldb,1994,"COL title VAL efficient and effective clustering methods for spatial data mining COL authors VAL r ng , j han COL venue VAL vldb COL year VAL 1994"
73,automata theory for xml researchers,f neven,sigmod record,2002,COL title VAL automata theory for xml researchers COL authors VAL f neven COL venue VAL sigmod record COL year VAL 2002
74,database research at the university of illinois at urbana-champaign,"m winslett , k chang , a doan , j han , c zhai , y zhou",sigmod record,2002,"COL title VAL database research at the university of illinois at urbana-champaign COL authors VAL m winslett , k chang , a doan , j han , c zhai , y zhou COL venue VAL sigmod record COL year VAL 2002"
75,fast incremental indexing for full-text information retrieval,"e brown , j callan , w croft",vldb,1994,"COL title VAL fast incremental indexing for full-text information retrieval COL authors VAL e brown , j callan , w croft COL venue VAL vldb COL year VAL 1994"
76,chair 's message,,,2002,COL title VAL chair 's message COL authors VAL  COL venue VAL  COL year VAL 2002
77,a transaction replication scheme for a replicated database with node autonomy,"a fu , d cheung",vldb,1994,"COL title VAL a transaction replication scheme for a replicated database with node autonomy COL authors VAL a fu , d cheung COL venue VAL vldb COL year VAL 1994"
78,treasurer 's message,,,2002,COL title VAL treasurer 's message COL authors VAL  COL venue VAL  COL year VAL 2002
79,a top-down approach for two level serializability,"m ouzzani , m atroun , n belkhodja",vldb,1994,"COL title VAL a top-down approach for two level serializability COL authors VAL m ouzzani , m atroun , n belkhodja COL venue VAL vldb COL year VAL 1994"
80,access to objects by path expressions and rules,"j frohn , g lausen , h uphoff",vldb,1994,"COL title VAL access to objects by path expressions and rules COL authors VAL j frohn , g lausen , h uphoff COL venue VAL vldb COL year VAL 1994"
81,report on the mobile search workshop at www 2002,,,2002,COL title VAL report on the mobile search workshop at www 2002 COL authors VAL  COL venue VAL  COL year VAL 2002
82,graphdb : modeling and querying graphs in databases,r gќting,vldb,1994,COL title VAL graphdb : modeling and querying graphs in databases COL authors VAL r gќting COL venue VAL vldb COL year VAL 1994
83,report on the web dynamics workshop at www 2002,,,2002,COL title VAL report on the web dynamics workshop at www 2002 COL authors VAL  COL venue VAL  COL year VAL 2002
84,report on the 24th european colloquium on information retrieval research,,,2002,COL title VAL report on the 24th european colloquium on information retrieval research COL authors VAL  COL venue VAL  COL year VAL 2002
85,database graph views : a practical model to manage persistent graphs,"a gutiщrrez , p pucheral , h steffen , j thщvenin",vldb,1994,"COL title VAL database graph views : a practical model to manage persistent graphs COL authors VAL a gutiщrrez , p pucheral , h steffen , j thщvenin COL venue VAL vldb COL year VAL 1994"
86,dual-buffering strategies in object bases,"a kemper , d kossmann",vldb,1994,"COL title VAL dual-buffering strategies in object bases COL authors VAL a kemper , d kossmann COL venue VAL vldb COL year VAL 1994"
87,sql/med - a status report,"j melton , j michels , v josifovski , k kulkarni , p schwarz",sigmod record,2002,"COL title VAL sql/med - a status report COL authors VAL j melton , j michels , v josifovski , k kulkarni , p schwarz COL venue VAL sigmod record COL year VAL 2002"
88,hector garcia-molina speaks out,m winslett,,2002,COL title VAL hector garcia-molina speaks out COL authors VAL m winslett COL venue VAL  COL year VAL 2002
89,2q : a low overhead high performance buffer management replacement algorithm,"t johnson , d shasha",vldb,1994,"COL title VAL 2q : a low overhead high performance buffer management replacement algorithm COL authors VAL t johnson , d shasha COL venue VAL vldb COL year VAL 1994"
90,an effective deductive object-oriented database through language integration,"m barja , n paton , a fernandes , m williams , a dinn",vldb,1994,"COL title VAL an effective deductive object-oriented database through language integration COL authors VAL m barja , n paton , a fernandes , m williams , a dinn COL venue VAL vldb COL year VAL 1994"
91,toward autonomic computing with db2 universal database,"s lightstone , g lohman , d zilio",sigmod record,2002,"COL title VAL toward autonomic computing with db2 universal database COL authors VAL s lightstone , g lohman , d zilio COL venue VAL sigmod record COL year VAL 2002"
92,reminiscences on influential papers,,,2002,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2002
93,an algebraic approach to rule analysis in expert database systems,"e baralis , j widom",vldb,1994,"COL title VAL an algebraic approach to rule analysis in expert database systems COL authors VAL e baralis , j widom COL venue VAL vldb COL year VAL 1994"
94,report on the semantic web workshop at www 2002,,,2002,COL title VAL report on the semantic web workshop at www 2002 COL authors VAL  COL venue VAL  COL year VAL 2002
95,fast algorithms for mining association rules in large databases,"r agrawal , r srikant",vldb,1994,"COL title VAL fast algorithms for mining association rules in large databases COL authors VAL r agrawal , r srikant COL venue VAL vldb COL year VAL 1994"
96,ontologies : a silver bullet for knowledge management and electronic commerce - book review,,,2002,COL title VAL ontologies : a silver bullet for knowledge management and electronic commerce - book review COL authors VAL  COL venue VAL  COL year VAL 2002
97,opossum : desk-top schema management through customizable visualization,"e haber , y ioannidis , m livny",vldb,1995,"COL title VAL opossum : desk-top schema management through customizable visualization COL authors VAL e haber , y ioannidis , m livny COL venue VAL vldb COL year VAL 1995"
98,the grid : an application of the semantic web,"c goble , d roure",sigmod record,2002,"COL title VAL the grid : an application of the semantic web COL authors VAL c goble , d roure COL venue VAL sigmod record COL year VAL 2002"
99,querying shapes of histories,"r agrawal , g psaila , e wimmers , m zaяt",vldb,1995,"COL title VAL querying shapes of histories COL authors VAL r agrawal , g psaila , e wimmers , m zaяt COL venue VAL vldb COL year VAL 1995"
100,interview with david maier,,,2002,COL title VAL interview with david maier COL authors VAL  COL venue VAL  COL year VAL 2002
101,"the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg",vldb,1995,"COL title VAL the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation COL authors VAL g evangelidis , d lomet , b salzberg COL venue VAL vldb COL year VAL 1995"
102,small worlds : the dynamics of networks between order and randomness - book review,,,2002,COL title VAL small worlds : the dynamics of networks between order and randomness - book review COL authors VAL  COL venue VAL  COL year VAL 2002
103,flexible relations - operational support of variant relational structures,"c kalus , p dadam",vldb,1995,"COL title VAL flexible relations - operational support of variant relational structures COL authors VAL c kalus , p dadam COL venue VAL vldb COL year VAL 1995"
104,query processing in tertiary memory databases,s sarawagi,vldb,1995,COL title VAL query processing in tertiary memory databases COL authors VAL s sarawagi COL venue VAL vldb COL year VAL 1995
105,"agents , turst , and information access on the semantic web","t finin , a joshi",sigmod record,2002,"COL title VAL agents , turst , and information access on the semantic web COL authors VAL t finin , a joshi COL venue VAL sigmod record COL year VAL 2002"
106,methodology for development and employment of ontology based knowledge management applications,"y sure , s staab , r studer",sigmod record,2002,"COL title VAL methodology for development and employment of ontology based knowledge management applications COL authors VAL y sure , s staab , r studer COL venue VAL sigmod record COL year VAL 2002"
107,near neighbor search in large metric spaces,s brin,vldb,1995,COL title VAL near neighbor search in large metric spaces COL authors VAL s brin COL venue VAL vldb COL year VAL 1995
108,scientific journals : extinction or explosion ? ( panel ),"r ramakrishnan , h garcia-molina , g rossbach , a silberschatz , g wiederhold , j zijlstra",vldb,1995,"COL title VAL scientific journals : extinction or explosion ? ( panel ) COL authors VAL r ramakrishnan , h garcia-molina , g rossbach , a silberschatz , g wiederhold , j zijlstra COL venue VAL vldb COL year VAL 1995"
109,acm-sigmod digital review,h jagadish,sigmod record,2000,COL title VAL acm-sigmod digital review COL authors VAL h jagadish COL venue VAL sigmod record COL year VAL 2000
110,querying multiple bioinformatics data sources : can semantic web research help ?,"d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong",sigmod record,2002,"COL title VAL querying multiple bioinformatics data sources : can semantic web research help ? COL authors VAL d buttler , m coleman , t critchlow , r fileto , w han , l liu , c pu , d rocco , l xiong COL venue VAL sigmod record COL year VAL 2002"
111,the p operator : discovering and ranking associations on the semantic web,"k anyanwu , a sheth",sigmod record,2002,"COL title VAL the p operator : discovering and ranking associations on the semantic web COL authors VAL k anyanwu , a sheth COL venue VAL sigmod record COL year VAL 2002"
112,similarity based retrieval of pictures using indices on spatial relationships,"a sistla , c yu , c liu , k liu",vldb,1995,"COL title VAL similarity based retrieval of pictures using indices on spatial relationships COL authors VAL a sistla , c yu , c liu , k liu COL venue VAL vldb COL year VAL 1995"
113,clustering validity checking methods : part ii,"m halkidi , y batistakis , m vazirgiannis",sigmod record,2002,"COL title VAL clustering validity checking methods : part ii COL authors VAL m halkidi , y batistakis , m vazirgiannis COL venue VAL sigmod record COL year VAL 2002"
114,providing database migration tools - a practicioner 's approach,a meier,vldb,1995,COL title VAL providing database migration tools - a practicioner 's approach COL authors VAL a meier COL venue VAL vldb COL year VAL 1995
115,editor 's notes,l liu,sigmod record,2002,COL title VAL editor 's notes COL authors VAL l liu COL venue VAL sigmod record COL year VAL 2002
116,metrics for accessing heterogeneous data : is there any hope ? ( panel ),"l seligman , n belkin , e neuhold , m stonebraker , g wiederhold",vldb,1995,"COL title VAL metrics for accessing heterogeneous data : is there any hope ? ( panel ) COL authors VAL l seligman , n belkin , e neuhold , m stonebraker , g wiederhold COL venue VAL vldb COL year VAL 1995"
117,"very large databases : how large , how different ?",d vaskevitch,vldb,1995,"COL title VAL very large databases : how large , how different ? COL authors VAL d vaskevitch COL venue VAL vldb COL year VAL 1995"
118,book review column,k aberer,sigmod record,2002,COL title VAL book review column COL authors VAL k aberer COL venue VAL sigmod record COL year VAL 2002
119,a study on the management of semantic transaction for efficient data retrieval,"s huang , i kwan , c li",sigmod record,2002,"COL title VAL a study on the management of semantic transaction for efficient data retrieval COL authors VAL s huang , i kwan , c li COL venue VAL sigmod record COL year VAL 2002"
120,promises and realities of active database systems,"e simon , a dittrich",vldb,1995,"COL title VAL promises and realities of active database systems COL authors VAL e simon , a dittrich COL venue VAL vldb COL year VAL 1995"
121,os support for vldbs : unix enhancements for the teradata data base,"j catozzi , s rabinovici",vldb,1995,"COL title VAL os support for vldbs : unix enhancements for the teradata data base COL authors VAL j catozzi , s rabinovici COL venue VAL vldb COL year VAL 1995"
122,reminiscences on influential papers,,,2002,COL title VAL reminiscences on influential papers COL authors VAL  COL venue VAL  COL year VAL 2002
123,parameterized complexity for the database theorist,m grohe,sigmod record,2002,COL title VAL parameterized complexity for the database theorist COL authors VAL m grohe COL venue VAL sigmod record COL year VAL 2002
124,managing a db2 parallel edition database,g fecteau,vldb,1995,COL title VAL managing a db2 parallel edition database COL authors VAL g fecteau COL venue VAL vldb COL year VAL 1995
125,research in information managment at dublin city university,"m roantree , a smeaton",sigmod record,2002,"COL title VAL research in information managment at dublin city university COL authors VAL m roantree , a smeaton COL venue VAL sigmod record COL year VAL 2002"
126,the oracle warehouse,g hallmark,vldb,1995,COL title VAL the oracle warehouse COL authors VAL g hallmark COL venue VAL vldb COL year VAL 1995
127,informix-online xps : a dynamically scalable rdbms for open parallel platforms,h spintzik,vldb,1995,COL title VAL informix-online xps : a dynamically scalable rdbms for open parallel platforms COL authors VAL h spintzik COL venue VAL vldb COL year VAL 1995
128,report on the edbt '02 panel on scientific data integration,,,2002,COL title VAL report on the edbt '02 panel on scientific data integration COL authors VAL  COL venue VAL  COL year VAL 2002
129,supporting exceptions to schema consistency to ease schema evolution in oodbms,"e amiel , m bellosta , e dujardin , e simon",vldb,1994,"COL title VAL supporting exceptions to schema consistency to ease schema evolution in oodbms COL authors VAL e amiel , m bellosta , e dujardin , e simon COL venue VAL vldb COL year VAL 1994"
130,wrapping web data into xml,"w han , d buttler , c pu",sigmod record,2001,"COL title VAL wrapping web data into xml COL authors VAL w han , d buttler , c pu COL venue VAL sigmod record COL year VAL 2001"
131,on database theory and xml,d suciu,sigmod record,2001,COL title VAL on database theory and xml COL authors VAL d suciu COL venue VAL sigmod record COL year VAL 2001
132,naos - efficient and modular reactive capabilities in an object-oriented database system,"c collet , t coupaye , t svensen",vldb,1994,"COL title VAL naos - efficient and modular reactive capabilities in an object-oriented database system COL authors VAL c collet , t coupaye , t svensen COL venue VAL vldb COL year VAL 1994"
133,xquery formal semantics : state and challenges,p fankhauser,sigmod record,2001,COL title VAL xquery formal semantics : state and challenges COL authors VAL p fankhauser COL venue VAL sigmod record COL year VAL 2001
134,towards automated performance tuning for complex workloads,"k brown , m mehta , m carey , m livny",vldb,1994,"COL title VAL towards automated performance tuning for complex workloads COL authors VAL k brown , m mehta , m carey , m livny COL venue VAL vldb COL year VAL 1994"
135,why and how to benchmark xml databases,"a schmidt , f waas , m kersten , d florescu , m carey , i manolescu , r busse",sigmod record,2001,"COL title VAL why and how to benchmark xml databases COL authors VAL a schmidt , f waas , m kersten , d florescu , m carey , i manolescu , r busse COL venue VAL sigmod record COL year VAL 2001"
136,query optimization by predicate move-around,"a levy , i mumick , y sagiv",vldb,1994,"COL title VAL query optimization by predicate move-around COL authors VAL a levy , i mumick , y sagiv COL venue VAL vldb COL year VAL 1994"
137,the evolution of effective b-tree : page organization and techniques : a personal account,d lomet,sigmod record,2001,COL title VAL the evolution of effective b-tree : page organization and techniques : a personal account COL authors VAL d lomet COL venue VAL sigmod record COL year VAL 2001
138,optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism,"w hasan , r motwani",vldb,1994,"COL title VAL optimization algorithms for exploiting the parallelism-communication tradeoff in pipelined parallelism COL authors VAL w hasan , r motwani COL venue VAL vldb COL year VAL 1994"
