id,side,bucket,text,query
96279287,left,SRAM,"COL brand VAL SRAM COL title VAL SRAM Sram Level Ultimate, Level TLM Disc Brake Pads COL description VAL Original equipment pads for no-compromise disc brake performance. COL price VAL 25.00 COL priceCurrency VAL USD","SRAM SRAM Sram Level Ultimate, Level TLM Disc Brake Pads"
48293393,left,Gigabyte,"COL brand VAL Gigabyte COL title VAL Gigabyte NVIDIA GeForce GTX 1650 4GB D6 OC Turing Graphics Card COL description VAL Gigabyte GeForce GTX 1650 D6 OC 4GB GDDR6 Graphics Card, 896 Core, 1635MHz Boost COL price VAL 148.99 COL priceCurrency VAL GBP",Gigabyte Gigabyte NVIDIA GeForce GTX 1650 4GB D6 OC Turing Graphics Card
68689972,left,Cooler Master,COL brand VAL Cooler Master COL title VAL Cooler Master MasterBox TD500 ARGB Mesh ATX Case Black TG MCB-D500D-KGNN-S01 | PCByte COL description VAL Motherboard Support: E-ATX/SSI CEB/ATX/Micro-ATX/Mini-ITXTempered Glass Side PanelExpansion Slots: 7Drive Bays: 2x 3.5 COL price VAL 149.0 COL priceCurrency VAL AUD,Cooler Master Cooler Master MasterBox TD500 ARGB Mesh ATX Case Black TG MCB-D500D-KGNN-S01 | PCByte
79625472,left,Sandisk,COL brand VAL Sandisk COL title VAL USB STICK SANDISK CRUZER GLIDE 32GB COL description VAL  COL price VAL 16.08 COL priceCurrency VAL EUR,Sandisk USB STICK SANDISK CRUZER GLIDE 32GB
46010816,left,Dymo,COL brand VAL Dymo COL title VAL Dymo 40913 Black On White - 9mm COL description VAL Dymo S0720680 from Dymo Express. 40913 Black On White - White- 9mm . COL price VAL 9.91 COL priceCurrency VAL GBP,Dymo Dymo 40913 Black On White - 9mm
95671075,left,FANABOX™,COL brand VAL FANABOX™ COL title VAL New York Yankees New Era Navy League 9FORTY Adjustable Hat - Men - Navy Blue COL description VAL Get into the action with this one-of-a-kind New York Yankees League 9FORTY adjustable hat from New Era! It features a sweet New York Yankees design. Everyone will know which team you love when you sport this New York Yankees hat!Details:Mid CrownStructured fitCurved billAdjustable hook and loop fastener strapContrast color underbillOne size fits mostRaised embroiderySix-panel construction with eyeletsWoven fabric appliqueSurface washableOfficially licensedImportedBrand: New EraMaterial: 100% Polyester COL price VAL 44.95 COL priceCurrency VAL CAD,FANABOX™ New York Yankees New Era Navy League 9FORTY Adjustable Hat - Men - Navy Blue
77338417,left,RAM Mount,"COL brand VAL RAM Mount COL title VAL RAM Mount Double Socket Clamp Arm - SHORT - for 1.5\"" C Size Balls COL description VAL RAM Mount Double Socket Clamp Arm - SHORT - for 1.5\"" C Size BallsThe RAM-201U-B, SHORT length double socket arm, has a socket at both ends that accommodates C Size 1.5\"" balls.A single spring inside the arm, keeps the socket open, allowing you to insert the ball in to the socket connection.The ball and socket technology allows for infinite viewing anglesRAM Double Socket Clamp Arm C Size for 1.5\"" ball bases;SHORT (RAM-201U-B) Overall Length: 3.5\"" Socket-To-Socket Length: 2.25\""* Any device/s shown are for illustration purposes ONLY and are NOT included in purchase. COL price VAL 45.00 COL priceCurrency VAL AUD","RAM Mount RAM Mount Double Socket Clamp Arm - SHORT - for 1.5\"" C Size Balls"
96691496,left,Jabra,COL brand VAL Jabra COL title VAL Evolve 20 Special Edition Mono MS COL description VAL  COL price VAL  COL priceCurrency VAL ,Jabra Evolve 20 Special Edition Mono MS
16871572,left,UBIQUITI,COL brand VAL UBIQUITI COL title VAL Ubiquiti UVC-G3-BULLET (Formerly UVC-G3-AF) UniFi Video Camera G3 1080p PoE IP Camera COL description VAL Ubiquiti UVC-G3-AF UniFi Video Camera G3 1080p PoE IP Camera COL price VAL 118.20 COL priceCurrency VAL GBP,UBIQUITI Ubiquiti UVC-G3-BULLET (Formerly UVC-G3-AF) UniFi Video Camera G3 1080p PoE IP Camera
88855243,left,Gigabyte,"COL brand VAL Gigabyte COL title VAL Gigabyte AMD Radeon RX 5500 XT OC 8GB GDDR6 RDNA PCIe 4.0 Graphics Card COL description VAL EXPERIENCE POWERFUL, ACCELERATED GAMING CUSTOMIZED FOR YOU WITH THE RX 5500 XTThe all new RDNA powered Gigabyte Radeon RX 5500 XT OC provides exceptional performance and High-fidelity gaming. Take control with Radeon RX 5500 XT and experience powerful, accelerated gaming that has been customized for you. The 5500 XT power the wold’s most technologically advanced 1080p gaming systems. The WINDFORCE cooling system with alternate spinning fans allow this card to stay cool and excel amongst the rest. Gigabyte RX 5500 XT OC allows you to utilise PCI-Express 4.0 support, with a throughput of 16 GT/s and enables two times the bandwidth compared to PCI Express 3.0 for even more immersive experiences whilst gaming. The back plate not only provides an aesthetical shape, but also enhances the structure of the graphics card to provide complete protection.1408Stream Processors8GBGDDR6 Memory1647 MHzCore Clock1845 MHzBoost ClockGigabyte\\'s Windforce Cooling Technology2 X 90MM ALTERNATING BLADE FANSThe WINDFORCE 2X cooling system features two 90mm unique blade fans which spin alternately, 3 composite copper heat pipes, heat-pipe direct touch and 3D active fan functionality, together delivering an effective heat dissipation capacity for higher performance at lower temperatures. GIGABYTE turns the adjacent fans in the opposite direction, so that the airflow direction between the two fans is the same, reducing the turbulence and enhancing the airflow pressure.Combining Different Cooling SolutionsUNIQUE BLADE FAN EFFECTIVELY ENHANCES THE AIRFLOWThe 3D Active Fan provides semi-passive cooling, and the fans will remain off when the GPU is in a low load or low power game. It allows gamers to enjoy gameplay in complete silence when the system is running light or idle. The airflow is spilt by the triangular fan edge, and guided smoothly through the 3D stripe curve on the fan surface, effectively enhancing the airflow. The shape of the pure copper heat pipes maximize the direct contact area with the GPU, enhancing heat transfer.Brand New RDNA Architecture with 7nm ProcessREDUCES LATENCY AND PROVIDES HIGHER BANDWIDTHPowered by the groundbreaking 7nm RDNA architecture with Radeon™ Image Sharpening and Radeon™ Anti-Lag technology, Radeon RX 5500 XT GPU delivers extremely efficient, ultra-responsive, high-fidelity gaming for immersive explosions, physics, and lighting effects, bringing realism to life. Take your gaming experience to the next level. You can experience stutter-free, tear-free gaming, reduced input latency and day-0 drivers optimized for new game releases.Featuring GDDR6 Memory and Compatiblity with PCIe 4.0SUPER-FAST PERFORMANCE FOR TODAYS DEMANDING TITLESEquipped with 8GB of advanced GDDR6 memory to provide high bandwidth of up to 224 GB/s, enabling 1080p performance for today’s most demanding games. Radeon RX 5500 XT features PCI® Express 4.0 support, which enables two times the bandwidth compared to PCI Express 3.0. Get ready for the next generation of PC gaming.Superior Gaming Performance with FreeSync MonitorsSMOOTH REFRESH RATE SO YOU CAN GAME AT YOUR BESTPair your new AMD Radeon GPU with a large selection of FreeSync gaming monitors. With such a wide array of monitors equipped with Radeon FreeSync or Radeon FreeSync2 HDR available you can enjoy choosing monitors that are styled and run how you want, but by choosing a monitor with FreeSync and combining it with an AMD card of this caliber the results will be a stutter-free, tear-free and artifact-free smooth gaming experience. COL price VAL 186.048 COL priceCurrency VAL GBP",Gigabyte Gigabyte AMD Radeon RX 5500 XT OC 8GB GDDR6 RDNA PCIe 4.0 Graphics Card
30012034,left,DJI,"COL brand VAL DJI COL title VAL DJI Mavic 2 Pro Drone Quadcopter with Hasselblad Camera HDR Video UAV Adjustable Aperture 20MP 1 COL description VAL Take amazing aerial photos and videos with this DJI Mavic 2 Pro aircraft. It has a powerful 1-inch CMOS sensor to capture 20-megapixel 4K images and an adjustable-aperture lens for clear footage in various lighting situations. This DJI Mavic 2 Pro aircraft has 8GB of internal storage and supports microSD cards up to 128GB.Fly Responsibly:Before takeoff, update all software and firmware, and read the instructions thoroughly.See the FAA website for registration requirements and information about flying a drone safely: https://www.faa.gov/uas/getting_started/. Additional state or local requirements may apply. Check your local jurisdiction. The following websites may help you make informed decisions about flying your drone: www.knowbeforeyoufly.org and www.modelaircraft.org. COL price VAL 1719.99 COL priceCurrency VAL USD",DJI DJI Mavic 2 Pro Drone Quadcopter with Hasselblad Camera HDR Video UAV Adjustable Aperture 20MP 1
41182463,left,SRAM,COL brand VAL SRAM COL title VAL SRAM Cassette Sram PG 1130 11 vitesses 11-36 COL description VAL  COL price VAL 115.99 COL priceCurrency VAL CAD,SRAM SRAM Cassette Sram PG 1130 11 vitesses 11-36
35809370,left,Hydro Flask,COL brand VAL Hydro Flask COL title VAL Hydro Flask 32oz Wide Mouth Flex Cap Hibiscus COL description VAL  COL price VAL 44.95 COL priceCurrency VAL USD,Hydro Flask Hydro Flask 32oz Wide Mouth Flex Cap Hibiscus
15648,left,Sony,COL brand VAL Sony COL title VAL Sony E 30mm f/3.5 Macro Lens COL description VAL The Sony E 30mm f/3.5 is a true 1:1 macro lens with a 2.4cm minimum working distance. It renders close-up detail with superb resolution and contrast. COL price VAL 6395.00 COL priceCurrency VAL ZAR,Sony Sony E 30mm f/3.5 Macro Lens
98124674,left,Samsung,"COL brand VAL Samsung COL title VAL Samsung T7 Blue 2TB Portable SSD USB-C/A Gen2 COL description VAL 2TB Samsung T7 MU-PC2T0H/WW, Portable External SSD, USB 3.2 Gen2/Type-C, Bus Powered, Blue COL price VAL 341.99 COL priceCurrency VAL GBP",Samsung Samsung T7 Blue 2TB Portable SSD USB-C/A Gen2
23007161,left,Epson,COL brand VAL Epson COL title VAL Epson Tinte matte schwarz 700ml f. 7900/9900 COL description VAL  COL price VAL 258.32 COL priceCurrency VAL EUR,Epson Epson Tinte matte schwarz 700ml f. 7900/9900
26502310,left,sandisk,"COL brand VAL sandisk COL title VAL 64GB SanDisk Extreme micro SD XC Memory Card V-Class 30 U3 4K Video A1 100MB/s COL description VAL SanDisk Extreme microSDHC Memory Card Plus SD Adapter with A1 App Performance Up to 100MB/s, Class 10, U3, V30*** Refurbished by SANDISK *** Like new / 12 months seller warranty / 30 days rtn policy / oem - non retail packageFast just got fasterCapture more action with the SanDisk Extreme microSDHC/SDXC UHS-I cards with transfer speeds of up to 100 MB/s [1]. Designed for the latest Android smartphones, tablets and MIL cameras.Built to resist the toughest conditionsDurability-tested to protect your memories from life’s mishaps – waterproof, shockproof, x-ray proof and temperature proof.Wherever you take your device, your card is designed to resist the toughest conditions [4].Easily manage your memoryThe SanDisk Memory Zone app [5] simplifies managing your smartphone memory and your media files – making it easy to access and back-up all your photos, videos and precious files.Load apps faster with A1Rated A1, the SanDisk Extreme microSDHC/microSDXC cards are optimised for apps, delivering faster app launch and performance, and providing better smartphone experience [2].Burst mode and 4K Ultra HD videoNever miss a shot with continuous burst mode speeds of up to 60MB/s [1]. Capture sharp detail and vibrant colours with Full HD and stunning 4K Ultra HD video [3].Brand name SanDiskItem Weight 4.54 gProduct Dimensions 0.1 x 1.1 x 1.5 cmItem model number SDSQXAF-064G-GN6MAColor n/aRAM Size 64 GBHard Drive Size 64 GBHard Disk Technology Memory CardDisclaimers:[1] 128GB-256GB: Up to 100MB/s read speed; up to 90MB/s write speed. 32GB-64GB: up to 100MB/s read speed; up to 60MB/s write speed. Based on internal testing; performance may be lower depending upon host device interface, usage conditions and other factors. 1MB=1,000,000 bytes.[2] Results may vary based on host device, app type and other factors.[3] Compatible device required. Full HD (1920x1080) and 4K UHD (3840 x 2160) support may vary based upon host device, file attributes and other factors.[4] See product packaging and manufacturer’s website for additional information and limitations.[5] Download and instalation is required. See manufacturer’s website for more details.The Android robot is reproduced or modified from work created and shared by Google and used according to terms described in the Creative Commons 3.0 Attribution Licence. COL price VAL 9.50 COL priceCurrency VAL GBP",sandisk 64GB SanDisk Extreme micro SD XC Memory Card V-Class 30 U3 4K Video A1 100MB/s
27166337,left,Omega,COL brand VAL Omega COL title VAL Omega Horloge Seamaster 46mm Planet Ocean 600M Co-Axial Master ChronometerChronograph 215.32.46.51.01.001 COL description VAL Horloge Seamaster 46mm Planet Ocean 600M Co-Axial Master ChronometerChronograph 215.32.46.51.01.001 COL price VAL 7600.00 COL priceCurrency VAL EUR,Omega Omega Horloge Seamaster 46mm Planet Ocean 600M Co-Axial Master ChronometerChronograph 215.32.46.51.01.001
54550733,left,RAM Mounts,"COL brand VAL RAM Mounts COL title VAL RAM Motorcycle Combination Base for Handlebar or Brake/Clutch Reservoir with 1\"" ... COL description VAL EA COL price VAL $27.00 COL priceCurrency VAL CAD","RAM Mounts RAM Motorcycle Combination Base for Handlebar or Brake/Clutch Reservoir with 1\"" ..."
81441228,left,TP-Link,"COL brand VAL TP-Link COL title VAL T1700G-28TQ GE/XG/SMA/24, Switch COL description VAL  COL price VAL 91684 COL priceCurrency VAL ","TP-Link T1700G-28TQ GE/XG/SMA/24, Switch"
47948274,left,Logitech,COL brand VAL Logitech COL title VAL Diadema Logitech H390 USB Computer ... COL description VAL Diadema Logitech H390 USB Computer Headset COL price VAL 149000.00 COL priceCurrency VAL COP,Logitech Diadema Logitech H390 USB Computer ...
66692743,left,G.Skill,COL brand VAL G.Skill COL title VAL G.Skill Trident Z Neo DDR4 3600MHz 16GB (2X8) Desktop Memory for AMD X570 F4-3600C16D-16GTZNC | PCByte COL description VAL Capacity : 16GB (8GBx2)Type : DDR4Speed : 3600 MHzLatency : 16-19-19-39Addressable RGB LEDs COL price VAL 209.0 COL priceCurrency VAL AUD,G.Skill G.Skill Trident Z Neo DDR4 3600MHz 16GB (2X8) Desktop Memory for AMD X570 F4-3600C16D-16GTZNC | PCByte
75596485,left,SHIMANO,COL brand VAL SHIMANO COL title VAL SPD-SL-CLEAT-SET-SM-SH11-(YELLOW)-[6DEGREE] COL description VAL SM-SH11 CLEAT SET(SELF-ALIGNING MODE /PAIR) #42U 98010 COL price VAL 12.0 COL priceCurrency VAL OMR,SHIMANO SPD-SL-CLEAT-SET-SM-SH11-(YELLOW)-[6DEGREE]
17007886,left,Tissot,"COL brand VAL Tissot COL title VAL Tissot Seastar 1000 Powermatic 80 Silicium COL description VAL The automatic choice for real divers. With its high water-resistance up to a pressure of 30 bar (300 m/1000 ft), screw-down crown and caseback as well as its unidirectional ceramic bezel, the Tissot Seastar 1000 Silicium is the ultimate diving watch, now combined with the energy of the Powermatic 80 movement upgraded with a Silicon Balance Spring, making this watch even more appropriate for water sports activities.Case Size:43MMMovement:Swiss AutomaticWater Resistance:300 meters/ 1000 feetGlass Type:Sapphire CrystalDial Color:BlueStrap Color:GreyStrap Material:Stainless SteelClasp:Folding clasp with safety and diver extensionMade In:SwitzerlandWarranty:﻿2 Years International COL price VAL 1150.0 COL priceCurrency VAL CAD",Tissot Tissot Seastar 1000 Powermatic 80 Silicium
8174351,left,SanDisk,"COL brand VAL SanDisk COL title VAL SanDisk SSD PLUS 120GB Solid State Drive -SDSSDA-120G-G27 COL description VAL Inject new life into your laptop or desktop PC with a durable solid state drive from SanDisk. You'll experience quicker boot-up and shutdown, quicker application response and data transfer speeds than with a typical hard disk drive1, at just a fraction of the cost of a new computer. Slc caching boosts burst write performance, making it ideal for typical PC workloads such as web browsing, Email, casual gaming, office productivity, and audio/video entertainment. SanDisk SSDs are resistant to shock, vibration and temperature extremes3, so your SSD keeps working, no matter where or how hard you use your computer. The SanDisk SSD dashboard provides software that includes proprietary SanDisk tools for monitoring and optimizing your system's performance and highlights offers for cloning and security Applications4.With read/write speeds of up to 530MB/s/400MBs, the SanDisk SSD plus delivers impressive performance in an entry-level drive, from a brand you know you can trust. COL price VAL 64.99 COL priceCurrency VAL USD",SanDisk SanDisk SSD PLUS 120GB Solid State Drive -SDSSDA-120G-G27
27429904,left,SanDisk,COL brand VAL SanDisk COL title VAL SanDisk Extreme microSDHC 32GB 100/60 MB/s A1 V30 GoPro COL description VAL SanDisk Extreme microSDHC 32GB 100/60 MB/s A1 V30 GoPro COL price VAL 0 COL priceCurrency VAL ,SanDisk SanDisk Extreme microSDHC 32GB 100/60 MB/s A1 V30 GoPro
83362334,left,Razer,"COL brand VAL Razer COL title VAL RAZER MAMBA ELITE ERGONOMIC WIRED GAMING MOUSE COL description VAL Incredibly Accurate: True 16,000 DPI 5G Optical Sensor; Up to 450 inches per second (IPS) / 50 G acceleration Extended Razer Chroma Lighting Zones: Customization with maximum visibility Razer Mechanical Switch: Durable up to 50 million clicks Advanced Ergonomics: Improved side grips for hours of comfortable gameplay 9 Programmable Buttons: Individually configure each button, including a tilt-click scroll wheel, to your preferred actions COL price VAL 6649.00 COL priceCurrency VAL INR",Razer RAZER MAMBA ELITE ERGONOMIC WIRED GAMING MOUSE
12243414,left,CANON,"COL brand VAL CANON COL title VAL Canon CLI-251BK XL High-Capacity Black Ink Tank COL description VAL For the PIXMA iX6820, iP7220, iP8720, MG5420, MG5422, MG5520, MG5522, MG6320, MG6420, MG7120, MX722, and MX922 PrintersThe CLI-251BK XL High-Capacity Black Ink Tank from Canon is part of the ChromaLife100 system that guarantees print longevity of 300 years when used with select Canon paper and stored in an archival-quality photo album. The ink tank features an LED light which will illuminate when you install the ink tank correctly. Additionally, when a full set of Canon ink is installed, you can access content on Canon's Creative Park Premium website for free. The instant-drying ink is compatible with the following printers:PIXMA iX6820 PIXMA iP7220 PIXMA iP8720 PIXMA MG5420 PIXMA MG5422 PIXMA MG5520 PIXMA MG5522 PIXMA MG6320 PIXMA MG6420 PIXMA MG7120 PIXMA MX722 PIXMA MX922Ink Dries Instantly: Photos can be handled right out of the printer without getting smudgedSmart LED: Lets you know when the ink is properly installedChromaLife100 : Combines enhanced FINE print head technology with select Canon inks and select Canon photo papers for borderless photos that will last up to 300 years when stored in an archival-quality photo albumCreative Park Premium: After installing a full set of Canon ink you can download projects from the Creative Park Premium website including postcards, calendars, scrapbook pages, and paintings COL price VAL 0.0 COL priceCurrency VAL USD",CANON Canon CLI-251BK XL High-Capacity Black Ink Tank
18289538,left,EPSON,COL brand VAL EPSON COL title VAL Cartucho tinta negro l epson t7031 - 24ml - big ben - para wp-4595 dnf/dtwf/ 4535dwf / 4525dnf / 4515dn / 4095dn / 4025dw / COL description VAL  COL price VAL 36.5 COL priceCurrency VAL EUR,EPSON Cartucho tinta negro l epson t7031 - 24ml - big ben - para wp-4595 dnf/dtwf/ 4535dwf / 4525dnf / 4515dn / 4095dn / 4025dw /
66129710,left,Kingston,COL brand VAL Kingston COL title VAL Kingston HyperX Predator 32 GB - PC4-24000 - DIMM COL description VAL Predator 32GB 3000MHz DDR4 Kit COL price VAL 199.00 COL priceCurrency VAL EUR,Kingston Kingston HyperX Predator 32 GB - PC4-24000 - DIMM
59536106,left,Seagate,"COL brand VAL Seagate COL title VAL Seagate IronWolf 6TB 3,5'' 256MB ST6000VN0033 COL description VAL Seagate IronWolf 6TB 3,5'' 256MB ST6000VN0033 COL price VAL 0 COL priceCurrency VAL ","Seagate Seagate IronWolf 6TB 3,5'' 256MB ST6000VN0033"
97165175,left,Oakley,COL brand VAL Oakley COL title VAL Oakley Jawbreaker 31 Mm Matte Black Sunglasses COL description VAL Oakley Sunglasses. Series Jawbreaker. Series number: OO9290. Color code: 92902031. Size: 31. Shape: Sport. Lens Width: 31 mm. Lens Bridge: 131 mm. Arm Length: 121 mm. 100% UV protection. Non-Polarized. Frame Material: Plastic. Frame Color: Matte Black. Lenses Type: Prizm Road.Product details:Frame color: matte blackLens color: prizm roadFit: standard COL price VAL 10890.0 COL priceCurrency VAL INR,Oakley Oakley Jawbreaker 31 Mm Matte Black Sunglasses
3024917,left,KINGSTON,"COL brand VAL KINGSTON COL title VAL KINGSTON 64GB USB 3.0 DataTraveler SE9 G2 (Kovový) DTSE9G2/64GB COL description VAL Lightweight, stylish USB 3.0 drive. Store, transfer and share up to 128GB of your favourite photos, videos, music and more with Kingston’s DataTraveler® SE9 G2 USB Flash drive. Its stylish, capless design means there’s no cap to lose, and its ultrasmall form factor fits any lifestyle. COL price VAL 369.00 COL priceCurrency VAL czk",KINGSTON KINGSTON 64GB USB 3.0 DataTraveler SE9 G2 (Kovový) DTSE9G2/64GB
70331081,left,SHIMANO,"COL brand VAL SHIMANO COL title VAL SHIMANO PD-R7000, 105, SPD-SL PEDAL. COL description VAL SHIMANO 105 R7000 Series COL price VAL 170.00 COL priceCurrency VAL AUD","SHIMANO SHIMANO PD-R7000, 105, SPD-SL PEDAL."
21670568,left,Ubiquiti,COL brand VAL Ubiquiti COL title VAL Ubiquiti UniFi Video Camera G4 Pro (UVC-G4-PRO) COL description VAL Capture every detail with the 4K resolution G4-PRO camera. COL price VAL 418.6000 COL priceCurrency VAL USD,Ubiquiti Ubiquiti UniFi Video Camera G4 Pro (UVC-G4-PRO)
74461011,left,Corsair,COL brand VAL Corsair COL title VAL Corsair Crystal Series 570X RGB ATX Mid-Tower Case Tempered Glass Black COL description VAL Corsair Crystal Series 570X RGB ATX Mid-Tower Case Tempered Glass Black COL price VAL 293 COL priceCurrency VAL AUD,Corsair Corsair Crystal Series 570X RGB ATX Mid-Tower Case Tempered Glass Black
88286371,left,BROTHER,COL brand VAL BROTHER COL title VAL TONERBROTHER ORIGINALE GIALLO TN-135Y COL description VAL PER HL-4040CN HL-4050CDN HL-4070CDW DCP-9040CN DCP-9042CDN DCP-9045CDN MFC-9440CN MFC-9450CDN MFC-9840CDW (4.000PG) 1PZ [r][n] COL price VAL 120.327869 COL priceCurrency VAL EUR,BROTHER TONERBROTHER ORIGINALE GIALLO TN-135Y
9767156,left,SRAM,"COL brand VAL SRAM COL title VAL SRAM PG-1170 11-Speed Cassette (11-25T) COL description VAL This is the SRAM PowerGlide 1170 Cassette. This 11-speed cassette is compatible with CX1 Cyclocross, SRAM Red 22, and Force 22 groupsets. Features:Cassette design for high shifting performance with a quieter chain/cassette combination.Semi-spidered steel cogs: light, strong, efficient.Specifications:Technology Highlight(s): Semi-spidered steel cogsMaterial: Heat Treated Steel Cog Cluster, Aluminum Spider (3 cogs)Recommended Chain: SRAM RED 22 chain, SRAM PC-1170 chainLock Ring Material: Aluminum11-25T Specifications:Cassette Body Type: Shimano/SRAM 11 Speed RoadCassette Cogs: 11-12-13-14-15-16-17-19-21-23-25Drivetrain Speeds: 11Color: SilverWeight: 238 grams11-26T Specifications:Cassette Body Type: Shimano/SRAM 11 Speed RoadCassette Cogs: 11-12-13-14-15-16-17-19-21-23-26Drivetrain Speeds: 11Color: SilverWeight: 243 grams11-28T Specifications:Cassette Body Type: Shimano/SRAM 11 Speed RoadCassette Cogs: 11-12-13-14-15-16-17-19-22-25-28Drivetrain Speeds: 11Color: SilverWeight: 251 grams11-32T Specifications:Cassette Body Type: Shimano/SRAM 11 Speed RoadCassette Cogs: 11-12-13-14-15-17-19-22-25-28-32Drivetrain Speeds: 11Color: SilverWeight: 300 grams11-36T Specifications:Cassette Body Type: Shimano/SRAM 11 Speed RoadCassette Cogs: 11-12-13-15-17-19-22-25-28-32-36Drivetrain Speeds: 11Color: SilverWeight: 366 grams This product was added to our catalog on March 7, 2018 COL price VAL 90.99 COL priceCurrency VAL USD",SRAM SRAM PG-1170 11-Speed Cassette (11-25T)
5708838,left,Ubiquiti,"COL brand VAL Ubiquiti COL title VAL Ubiquiti UniFi Full HD IRNV Indoor Micro Security Camera COL description VAL Ubiquiti UniFi G3-MICRO Security Camera for Indoor Use, 1920x1080, 30Hz, IRNV, PoE, Dual-Band 802.11a/b/g/n, Mic/Speaker COL price VAL 189.98 COL priceCurrency VAL GBP",Ubiquiti Ubiquiti UniFi Full HD IRNV Indoor Micro Security Camera
