id,brand,title,description,price,priceCurrency,text
90603941,Brother,Brother HL-L6200DW Business Laser Printer,"HL-L6200DW Business Laser Printer. The Brother HL-L6200DW monochrome laser printer is a great choice for busy offices and workgroups with higher print volumes that need a reliable printer with a low cost per page. Maximize your productivity with fast printing up to 48ppm and automatic two-sided printing, and help lower your operating costs with a super high-yield replacement toner cartridge. Reduce paper refills with a 520-sheet capacity paper tray that holds more than a ream of paper or for even greater paper capacity add optional trays for a total capacity of 1,610 sheets. Advanced security features help protect sensitive documents and prevent unauthorized printing. Plus, enjoy flexible connectivity with Gigabit Ethernet and wireless network interfaces, and convenient mobile device printing.",229.99,USD,"COL brand VAL Brother COL title VAL Brother HL-L6200DW Business Laser Printer COL description VAL HL-L6200DW Business Laser Printer. The Brother HL-L6200DW monochrome laser printer is a great choice for busy offices and workgroups with higher print volumes that need a reliable printer with a low cost per page. Maximize your productivity with fast printing up to 48ppm and automatic two-sided printing, and help lower your operating costs with a super high-yield replacement toner cartridge. Reduce paper refills with a 520-sheet capacity paper tray that holds more than a ream of paper or for even greater paper capacity add optional trays for a total capacity of 1,610 sheets. Advanced security features help protect sensitive documents and prevent unauthorized printing. Plus, enjoy flexible connectivity with Gigabit Ethernet and wireless network interfaces, and convenient mobile device printing. COL price VAL 229.99 COL priceCurrency VAL USD"
72145468,,Manfrotto XPRO Fluid Tripod Head with Fluidity Selector,"Adjustable fluidity on tilt movement for smoother shooting Professional fluid drag for pan and tilt movements Versatile flat base for multiple tripod connections Quick and easy to set up and switch from photo to video Durable, lightweight aluminium construction",138.00,EUR,"COL brand VAL  COL title VAL Manfrotto XPRO Fluid Tripod Head with Fluidity Selector COL description VAL Adjustable fluidity on tilt movement for smoother shooting Professional fluid drag for pan and tilt movements Versatile flat base for multiple tripod connections Quick and easy to set up and switch from photo to video Durable, lightweight aluminium construction COL price VAL 138.00 COL priceCurrency VAL EUR"
62242636,DJI,DJI Mavic Air Car Charger,,649,SEK,COL brand VAL DJI COL title VAL DJI Mavic Air Car Charger COL description VAL  COL price VAL 649 COL priceCurrency VAL SEK
40357787,,APC (APCRBC110) REPLACEMENT BATTERY CATRIDGE #110,Genuine APC RBC(TM) are tested and certified for compatibility to restore UPS performance to the original specifications.,176.4,AUD,COL brand VAL  COL title VAL APC (APCRBC110) REPLACEMENT BATTERY CATRIDGE #110 COL description VAL Genuine APC RBC(TM) are tested and certified for compatibility to restore UPS performance to the original specifications. COL price VAL 176.4 COL priceCurrency VAL AUD
32904204,,"3M - Privacy filter framed lightweight 18,1\""\""-20\""\"" widescreen","3M Privacy filter framed lightweight 18, 1\""\""-20\""\"" widescreen (7000059517) - Typ: Skärmskydd",1686.00,SEK,"COL brand VAL  COL title VAL 3M - Privacy filter framed lightweight 18,1\""\""-20\""\"" widescreen COL description VAL 3M Privacy filter framed lightweight 18, 1\""\""-20\""\"" widescreen (7000059517) - Typ: Skärmskydd COL price VAL 1686.00 COL priceCurrency VAL SEK"
77220996,Canon,Canon PGI-29 Ink Tank Grey 4871B001AA CO68194,,23.81,GBP,COL brand VAL Canon COL title VAL Canon PGI-29 Ink Tank Grey 4871B001AA CO68194 COL description VAL  COL price VAL 23.81 COL priceCurrency VAL GBP
60571140,Gigabyte,Gigabyte GeForce GTX 1650 Super OC,"The Gigabyte GeForce GTX 1650 Super OC has 4 GB Vram. Its boost clock is set to 1740 MHz, its memory clock is at 12000 MHz.",159.99,USD,"COL brand VAL Gigabyte COL title VAL Gigabyte GeForce GTX 1650 Super OC COL description VAL The Gigabyte GeForce GTX 1650 Super OC has 4 GB Vram. Its boost clock is set to 1740 MHz, its memory clock is at 12000 MHz. COL price VAL 159.99 COL priceCurrency VAL USD"
74756753,,HyperX FURY Blue 4GB (1x4GB) 1600MHz DDR3 Memory,"HyperX brand featuring Intel XMP profile support and ideal huge 4GB DDR3 module, powered by CL10 latency timing, powered by 1.5V and fluid 1600MHz",2.134E1,GBP,"COL brand VAL  COL title VAL HyperX FURY Blue 4GB (1x4GB) 1600MHz DDR3 Memory COL description VAL HyperX brand featuring Intel XMP profile support and ideal huge 4GB DDR3 module, powered by CL10 latency timing, powered by 1.5V and fluid 1600MHz COL price VAL 2.134E1 COL priceCurrency VAL GBP"
7437957,Samsung,Samsung 1TB SSD 970 EVO NVMe M.2,"Product InformationThe Samsung SSD 970 EVO is the 2nd generation of Samsung's 3bit-MLC NVMe SSDs for client PC. The Samsung 970 EVO is specially designed for tech savvies, gamers and professionals who frequently work on video creation/editing or simulation that requires high workloads. Featuring the latest Samsung 3bit-MLC V-NAND technology and a newly enhanced Phoenix controller, the 970 EVO delivers unrivaled next level performance and exceptional reliability in a small M.2 2280 form factor, offering customers the most advanced Samsung SSD technology currently available for Client PCs.Next Level SSD SpeedIn combination with the latest Samsung V-NAND technology, powerful Phoenix Controller and upgraded Intelligent TurboWrite technology, the 970 EVO delivers stunning sequential read/write performance of up to 3,500/2,500 MB/s respectively and random performance of up to 500,000/480,000 IOPS for read/write respectively. Upgraded Intelligent TurboWrite technology uses a large buffer size of up to 78GB to enable faster sequential write speeds, which improves the user experience especially when transferring large files or using application which requires high-workloads.Unparalleled ReliabilityThe 970 EVO boasts exceptional endurance with up to 1,200 TBW, which is 50 percent higher than that of the previous model, thanks to the latest Samsung V-NAND technology.* Thermal control solutions enable enhanced performance with reduced heat risk. Dynamic Thermal Guard(DTG) technology proactively prevents overheating, and a heat spreader with an integrated thin copper film dissipates heat more efficiently. A new nickel coating on the Phoenix controller also helps to shed heat faster during heavy workload use in order to ensure the high levels of quality and reliability for which Samsung is known. The 970 EVO offers more time period of 5-year warranty versus that of 960 EVO.*All documented endurance test results are obtained in compliance with JESD218 standards. Please visit www.jedec.org for detailed information on the standard.System Design FlexibilityThe 970 EVO enables convenient storage expansion across many different devices. The 970 EVO comes in a broad range of capacity options, including a single-sided 2TB version, made possible through Samsung's latest 512Gb VNAND technology. In addition, the 970 EVO offers high power efficiency as well as exceptional speeds, making it the ideal solution to use with application ranging from ultra-thin computing to high-performance computing systems.Advanced Data EncryptionThe 970 EVO provides multiple advanced data encryption features. Self-Encrypting Drive (SED) security technology will help keep data safe at all times. The 970 EVO includes an AES 256-bit hardware-based encryption engine to ensure that your personal files remain secure. Being hardware-based, the encryption engine secures your data without the performance degradation that you may experience with software-based encryption. Also, the 970 EVO is compliant with various advanced security management solutions (TCG Opal and Encrypted Drive-IEEE1667).Samsung Data Migration and Magician SoftwareThe 970 EVO comes with Samsung Data Migration and Magician software, which is easy to install and makes management of your SSD simple.* Samsung Data Migration software is easy to use, yet provides a very powerful ""Custom Cloning"" feature that makes migration effortless even when the amount of source data is greater than the SSD's capacity. Magician provides personalized firmware checks and additional functionality tailored to the drives of individual users. It even updates the firmware automatically to make sure that the drive's performance stays up to date.*To download Samsung Data Migration and Magician, please visit www.samsung.com/samsungssdShow more;",170.98,GBP,"COL brand VAL Samsung COL title VAL Samsung 1TB SSD 970 EVO NVMe M.2 COL description VAL Product InformationThe Samsung SSD 970 EVO is the 2nd generation of Samsung's 3bit-MLC NVMe SSDs for client PC. The Samsung 970 EVO is specially designed for tech savvies, gamers and professionals who frequently work on video creation/editing or simulation that requires high workloads. Featuring the latest Samsung 3bit-MLC V-NAND technology and a newly enhanced Phoenix controller, the 970 EVO delivers unrivaled next level performance and exceptional reliability in a small M.2 2280 form factor, offering customers the most advanced Samsung SSD technology currently available for Client PCs.Next Level SSD SpeedIn combination with the latest Samsung V-NAND technology, powerful Phoenix Controller and upgraded Intelligent TurboWrite technology, the 970 EVO delivers stunning sequential read/write performance of up to 3,500/2,500 MB/s respectively and random performance of up to 500,000/480,000 IOPS for read/write respectively. Upgraded Intelligent TurboWrite technology uses a large buffer size of up to 78GB to enable faster sequential write speeds, which improves the user experience especially when transferring large files or using application which requires high-workloads.Unparalleled ReliabilityThe 970 EVO boasts exceptional endurance with up to 1,200 TBW, which is 50 percent higher than that of the previous model, thanks to the latest Samsung V-NAND technology.* Thermal control solutions enable enhanced performance with reduced heat risk. Dynamic Thermal Guard(DTG) technology proactively prevents overheating, and a heat spreader with an integrated thin copper film dissipates heat more efficiently. A new nickel coating on the Phoenix controller also helps to shed heat faster during heavy workload use in order to ensure the high levels of quality and reliability for which Samsung is known. The 970 EVO offers more time period of 5-year warranty versus that of 960 EVO.*All documented endurance test results are obtained in compliance with JESD218 standards. Please visit www.jedec.org for detailed information on the standard.System Design FlexibilityThe 970 EVO enables convenient storage expansion across many different devices. The 970 EVO comes in a broad range of capacity options, including a single-sided 2TB version, made possible through Samsung's latest 512Gb VNAND technology. In addition, the 970 EVO offers high power efficiency as well as exceptional speeds, making it the ideal solution to use with application ranging from ultra-thin computing to high-performance computing systems.Advanced Data EncryptionThe 970 EVO provides multiple advanced data encryption features. Self-Encrypting Drive (SED) security technology will help keep data safe at all times. The 970 EVO includes an AES 256-bit hardware-based encryption engine to ensure that your personal files remain secure. Being hardware-based, the encryption engine secures your data without the performance degradation that you may experience with software-based encryption. Also, the 970 EVO is compliant with various advanced security management solutions (TCG Opal and Encrypted Drive-IEEE1667).Samsung Data Migration and Magician SoftwareThe 970 EVO comes with Samsung Data Migration and Magician software, which is easy to install and makes management of your SSD simple.* Samsung Data Migration software is easy to use, yet provides a very powerful ""Custom Cloning"" feature that makes migration effortless even when the amount of source data is greater than the SSD's capacity. Magician provides personalized firmware checks and additional functionality tailored to the drives of individual users. It even updates the firmware automatically to make sure that the drive's performance stays up to date.*To download Samsung Data Migration and Magician, please visit www.samsung.com/samsungssdShow more; COL price VAL 170.98 COL priceCurrency VAL GBP"
5603029,Samsung,Samsung Portable SSD T7 Touch 1TB - Zilver,"Portable SSD T7 Touch USB 3.2, NVMe, 1TB",249.00,EUR,"COL brand VAL Samsung COL title VAL Samsung Portable SSD T7 Touch 1TB - Zilver COL description VAL Portable SSD T7 Touch USB 3.2, NVMe, 1TB COL price VAL 249.00 COL priceCurrency VAL EUR"
8939620,,Crucial 4GB (1x4GB) 2666MHz DDR4 Memory,"energy efficient (1.2V) memory stick and perfect low cost 4GB DDR4 memory module, with CL19 latency timing and fluid 2666MHz PC number PC4-21300",1.601E1,GBP,"COL brand VAL  COL title VAL Crucial 4GB (1x4GB) 2666MHz DDR4 Memory COL description VAL energy efficient (1.2V) memory stick and perfect low cost 4GB DDR4 memory module, with CL19 latency timing and fluid 2666MHz PC number PC4-21300 COL price VAL 1.601E1 COL priceCurrency VAL GBP"
97657130,Sigma,Sigma 105mm F1.4 Art DG HSM EOS Mount Lens,Sigma 105mm F1.4 Art DG HSM EOS Mount Lens,2595,AUD,COL brand VAL Sigma COL title VAL Sigma 105mm F1.4 Art DG HSM EOS Mount Lens COL description VAL Sigma 105mm F1.4 Art DG HSM EOS Mount Lens COL price VAL 2595 COL priceCurrency VAL AUD
415992,,Epson Ink Cartridge - Matte Black 700ml,Epson Ink Cartridge - Matte Black 700ml,262.17,GBP,COL brand VAL  COL title VAL Epson Ink Cartridge - Matte Black 700ml COL description VAL Epson Ink Cartridge - Matte Black 700ml COL price VAL 262.17 COL priceCurrency VAL GBP
64016107,,BenQ SW271 Pro 27in IPS LCD Monitor 4K UHD,"The SW271 builds upon the success of its award-winning predecessor and sets a new benchmark for wide gamut monitors taking image quality to the next level with the addition of HDR capabilities. The new 27” 4K UHD monitor offers extraordinary clarity of fine details and textures on an a10-bit panel with 99% Adobe RGB, 100% sRGB colour space coverage as well as supporting HDR content.Key Features99% Adobe RGB Colour Space With IPS technology27 Inch 4K UHD ResolutionHigh Dynamic Range (HDR)Hardware Calibration With Palette Master Element SoftwareUSB-C™ for transmitting data and video signal with one cableOutstanding Colour Accuracy and Resolution4K UHD Monitor4K Ultra HD resolution ensures extraordinary clarity of fine details and textures for an optimal viewing and visual-intensive work experience.99% Adobe RGBSee the true colours of nature! Adobe RGB colour space offers a greater range of colour reproduction for shades of blue and green, resulting in a more realistic colour representation for outdoor and nature photography.10-bit Colour DisplayEnjoy the smoothest colour gradations on a 10-bit display which shows more than one billion colours.High Dynamic Range (HDR)High Dynamic Range (HDR) increases the overall dynamic range between black and white so the resulting image appears closer to what your eyes see in the natural world.*To view HDR content from your device, ensure that you use the HDMI cable provided with the SW271 monitor or a High-Speed HDMI Cable or Premium High-Speed HDMI Certified Cable.*HDR function supports HDR10.14-bit 3D LUT & Delta E ≦ 2The 14-bit 3D Look Up Table (LUT) improves RGB colour blending accuracy, resulting in impeccable colour reproduction. Having Delta E≤2 in both Adobe RGB and sRGB colour spaces gives you the truest and most representative view of the original image.Hardware CalibrationHardware calibration allows you to adjust the image processing chip in the monitor without changing the graphics card output data. It keeps images consistent with its original copies without being affected by graphic settings.Palette Master Element Calibration SoftwareWith the use of Palette Master Element and a calibrator, you can tune and maintain the colour performance of the monitor at its most optimal state.*Supported Platforms: Win7 or above, Mac OS 10.6.8 or above*Supported Calibrators: X-Rite i1 Display Pro / i1 Pro / i1 Pro 2 & Datacolor Spyder 4 / Spyder 5Simple, Functional Design for Greater EfficiencyUSB-C™ Cable for Optimal ConvenienceSW271 uses the latest USB-C™ port to transmit video and data with only one cable. So you can do the hardware calibration with ease. The USB-C™ port smoothly displays brilliant 4K contents and offers an up to 5Gbps transfer rate.*The transmission rate of USB-C™ can vary. For more information please check out the user’s guide.*USB-C is compatible with Thunderbolt 3. The user should check the compatibility of the host device with USB-C. The compatibility list can be downloaded from here.Advanced Black & White ModeView your photos in a black and white film effect. Choose from three different black and white presets to preview your photos in before you perform actual adjustments in your photo processing program.GamutDuoGamutDuo enables you to view content simultaneously in different colour spaces side-by-side for added comparison. Switch to PIP/PBP mode to enable GamutDuo.",969.0,GBP,"COL brand VAL  COL title VAL BenQ SW271 Pro 27in IPS LCD Monitor 4K UHD COL description VAL The SW271 builds upon the success of its award-winning predecessor and sets a new benchmark for wide gamut monitors taking image quality to the next level with the addition of HDR capabilities. The new 27” 4K UHD monitor offers extraordinary clarity of fine details and textures on an a10-bit panel with 99% Adobe RGB, 100% sRGB colour space coverage as well as supporting HDR content.Key Features99% Adobe RGB Colour Space With IPS technology27 Inch 4K UHD ResolutionHigh Dynamic Range (HDR)Hardware Calibration With Palette Master Element SoftwareUSB-C™ for transmitting data and video signal with one cableOutstanding Colour Accuracy and Resolution4K UHD Monitor4K Ultra HD resolution ensures extraordinary clarity of fine details and textures for an optimal viewing and visual-intensive work experience.99% Adobe RGBSee the true colours of nature! Adobe RGB colour space offers a greater range of colour reproduction for shades of blue and green, resulting in a more realistic colour representation for outdoor and nature photography.10-bit Colour DisplayEnjoy the smoothest colour gradations on a 10-bit display which shows more than one billion colours.High Dynamic Range (HDR)High Dynamic Range (HDR) increases the overall dynamic range between black and white so the resulting image appears closer to what your eyes see in the natural world.*To view HDR content from your device, ensure that you use the HDMI cable provided with the SW271 monitor or a High-Speed HDMI Cable or Premium High-Speed HDMI Certified Cable.*HDR function supports HDR10.14-bit 3D LUT & Delta E ≦ 2The 14-bit 3D Look Up Table (LUT) improves RGB colour blending accuracy, resulting in impeccable colour reproduction. Having Delta E≤2 in both Adobe RGB and sRGB colour spaces gives you the truest and most representative view of the original image.Hardware CalibrationHardware calibration allows you to adjust the image processing chip in the monitor without changing the graphics card output data. It keeps images consistent with its original copies without being affected by graphic settings.Palette Master Element Calibration SoftwareWith the use of Palette Master Element and a calibrator, you can tune and maintain the colour performance of the monitor at its most optimal state.*Supported Platforms: Win7 or above, Mac OS 10.6.8 or above*Supported Calibrators: X-Rite i1 Display Pro / i1 Pro / i1 Pro 2 & Datacolor Spyder 4 / Spyder 5Simple, Functional Design for Greater EfficiencyUSB-C™ Cable for Optimal ConvenienceSW271 uses the latest USB-C™ port to transmit video and data with only one cable. So you can do the hardware calibration with ease. The USB-C™ port smoothly displays brilliant 4K contents and offers an up to 5Gbps transfer rate.*The transmission rate of USB-C™ can vary. For more information please check out the user’s guide.*USB-C is compatible with Thunderbolt 3. The user should check the compatibility of the host device with USB-C. The compatibility list can be downloaded from here.Advanced Black & White ModeView your photos in a black and white film effect. Choose from three different black and white presets to preview your photos in before you perform actual adjustments in your photo processing program.GamutDuoGamutDuo enables you to view content simultaneously in different colour spaces side-by-side for added comparison. Switch to PIP/PBP mode to enable GamutDuo. COL price VAL 969.0 COL priceCurrency VAL GBP"
2158913,Shimano,Shimano Dura-Ace CS-R9100 11-28T 11sp Cassette,The Shimano Dura-Ace CS-R9100 11-28T 11sp Cassette offers Rider Tuned gearing and improved drivetrain precision through reliable and easy up or down-shifting.,296.99,AUD,COL brand VAL Shimano COL title VAL Shimano Dura-Ace CS-R9100 11-28T 11sp Cassette COL description VAL The Shimano Dura-Ace CS-R9100 11-28T 11sp Cassette offers Rider Tuned gearing and improved drivetrain precision through reliable and easy up or down-shifting. COL price VAL 296.99 COL priceCurrency VAL AUD
9016004,,Samsung 970 EVO Plus 250GB SSD,"PCIe Gen 3.0 x 4, NVMe 1.3, V-NAND TLC, Up to 3500/2300MB/s read/write, 150TBW",949.00,NOK,"COL brand VAL  COL title VAL Samsung 970 EVO Plus 250GB SSD COL description VAL PCIe Gen 3.0 x 4, NVMe 1.3, V-NAND TLC, Up to 3500/2300MB/s read/write, 150TBW COL price VAL 949.00 COL priceCurrency VAL NOK"
5938532,,"3M - Privacy Filter 23.0\""\"" Framed","3M Privacy Filter 23.0\""\"" Framed (PF230W9F) - Type: Andet tilbehør",2400.00,DKK,"COL brand VAL  COL title VAL 3M - Privacy Filter 23.0\""\"" Framed COL description VAL 3M Privacy Filter 23.0\""\"" Framed (PF230W9F) - Type: Andet tilbehør COL price VAL 2400.00 COL priceCurrency VAL DKK"
24574240,,DJI Mavic 2 Car Charger,"The DJI Mavic 2 Car Charger has a maximum output power of 80W, allowing you to charge batteries while driving. It features overheating protection and low-voltage protection technology to ensure a safe and reliable charge and drive. It works for both the Mavic 2 Pro and Mavic 2 Zoom.",69.99,USD,"COL brand VAL  COL title VAL DJI Mavic 2 Car Charger COL description VAL The DJI Mavic 2 Car Charger has a maximum output power of 80W, allowing you to charge batteries while driving. It features overheating protection and low-voltage protection technology to ensure a safe and reliable charge and drive. It works for both the Mavic 2 Pro and Mavic 2 Zoom. COL price VAL 69.99 COL priceCurrency VAL USD"
81212084,,"Johnnie Walker Blue Label 0,7 ltr.",,139.95,EUR,"COL brand VAL  COL title VAL Johnnie Walker Blue Label 0,7 ltr. COL description VAL  COL price VAL 139.95 COL priceCurrency VAL EUR"
95282914,Jabra,Jabra Evolve 80 UC stereo SKype for Business,,"€ 230,35",EUR,"COL brand VAL Jabra COL title VAL Jabra Evolve 80 UC stereo SKype for Business COL description VAL  COL price VAL € 230,35 COL priceCurrency VAL EUR"
